gq_class,band,persons,nonfiling_adults,filers,dorm_dependents
dorm_student,18_25,2702037,0,320189,2381848
institutional,18_25,397831,340387,57444,0
institutional,26_34,652733,546153,106580,0
institutional,35_44,595819,495373,100446,0
institutional,45_54,438862,378648,60214,0
institutional,55_64,359324,312899,46425,0
institutional,65_74,336600,302681,33919,0
institutional,75p,979332,857083,122249,0
other_noninstitutional,18_25,371724,77062.6785345203,294661.32146548,0
other_noninstitutional,26_34,248023,85055.8044643924,162967.195535608,0
other_noninstitutional,35_44,174336,69643.7643015633,104692.235698437,0
other_noninstitutional,45_54,196219,86580.2219251344,109638.778074866,0
other_noninstitutional,55_64,200225,88120.1251382204,112104.87486178,0
other_noninstitutional,65_74,101369,45986.6396352397,55382.3603647603,0
other_noninstitutional,75p,125499,63110.1634981758,62388.8365018242,0
