gq_class,band,persons,nonfiling_adults,filers,dorm_dependents
dorm_student,18_25,2807651,0,349964,2457687
institutional,18_25,235975,204218,31757,0
institutional,26_34,531792,455685,76107,0
institutional,35_44,592970,500190,92780,0
institutional,45_54,390136,342019,48117,0
institutional,55_64,376960,345206,31754,0
institutional,65_74,409266,378279,30987,0
institutional,75p,991522,868439,123083,0
other_noninstitutional,18_25,370736,68501.7054172042,302234.294582796,0
other_noninstitutional,26_34,287282,98668.0643823951,188613.935617605,0
other_noninstitutional,35_44,226424,98299.1907701783,128124.809229822,0
other_noninstitutional,45_54,202811,90020.166409203,112790.833590797,0
other_noninstitutional,55_64,255157,117628.793259853,137528.206740147,0
other_noninstitutional,65_74,151424,74935.7279664563,76488.2720335437,0
other_noninstitutional,75p,178209,89644.3582914481,88564.6417085519,0
