band,hh_above,gq_nonfiling,fixed_nonfiling,target,delta,achieved,below_mass,shortfall,anchor,dep_nonfiling,scenario,netting_scale,tax_year,gamma
18_25,328972.421098272,359819.961362482,688792.382460754,831163.119423036,3.05028155056269,831163.119423036,7118536.8572,0,9042385.7890047,8211222.66958166,central,1,2020,-0.7
26_34,2033601.98096755,648144.059235389,2681746.04020294,3258171.52814758,1.91127212898701,3258171.52814758,5174420.7451,0,4844737.02767767,1586565.49953009,central,1,2020,-0.7
35_44,1825878.66700385,637601.747359239,2463480.41436309,3389758.63624934,1.49685709690503,3389758.63624934,4675043.9249,0,4328445.20304665,938686.566797309,central,1,2020,-0.7
45_54,1981489.93097404,456828.73246385,2438318.66343789,4303330.03078363,0.806788472665747,4303330.03078363,4776903.8673,0,5007951.29059315,704621.259809525,central,1,2020,-0.7
55_64,2201589.12952654,454543.480573833,2656132.61010038,6028592.54532937,0.74566576722298,6028592.54532937,8234855.5535,0,6729082.95783187,700490.412502501,central,1,2020,-0.7
65_74,1629888.63123032,407231.016410818,2037119.64764114,5018577.52311865,1.10427498647121,5018577.52311865,14381395.33,0,5401470.05560843,382892.532489776,central,1,2020,-0.7
75p,775734.211926872,901842.447740739,1677576.65966761,4918581.43832745,0.907963795343555,4918581.43832745,13042688.6572,0,5412160.67623753,493579.237910084,central,1,2020,-0.7
