state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,mfs_qss_returns,filing_adults_ht2,residual_nonfiling_adults_ht2basis,ht2_filing_share,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
AK,552768,256800,226510,174920,9940,483310,69458,0.0022163554753349,479940.066961441,72827.9330385592,0.131751355068599,670,72157.9330385592,82072,93853,0.87447391132942
AL,3903418,1580020,1430640,1225870,52480,3010660,892758,0.01380623776742,2989667.83637444,913750.163625558,0.234089755087863,37427,876323.163625558,801448,866058,0.925397606164945
AR,2307989,1020010,825430,756270,31870,1845440,462549,0.0084627900279366,1832572.46316716,475416.536832837,0.205987349520659,25852,449564.536832837,488776,517280,0.944896381070213
AZ,5586820,2377650,2233720,1788790,56170,4611370,975450,0.0211467487705512,4579216.70684236,1007603.29315764,0.180353634653997,41179,966424.293157643,1139530,1311708,0.868737554394728
CA,30618056,13015120,12874740,10173570,348940,25889860,4728196,0.118725317015278,25709340.0550833,4908715.94491666,0.160320953914143,186850,4721865.94491666,4959887,5844738,0.848607242959394
CO,4527590,2137210,1833670,1277520,64510,3970880,556710,0.0182095996977051,3943192.59501323,584397.404986765,0.129074718555957,32287,552110.404986765,740504,852340,0.868789450219396
CT,2840099,1271370,1199880,779970,45750,2471250,368849,0.0113326197852752,2454018.93293841,386080.067061595,0.135938946868259,47112,338968.067061595,558585,630124,0.886468377652653
DC,544507,126940,284220,128720,11500,411160,133347,0.00188549112834143,408293.140907215,136213.859092785,0.250159977911735,21454,114759.859092785,63228,83909,0.753530610542373
DE,781828,353870,326160,230420,13950,680030,101798,0.00311847098941051,675288.414756137,106539.585243863,0.136269851225414,9868,96671.5852438628,176977,192262,0.920499110588676
FL,17315366,7306370,7430140,4972270,297830,14736510,2578856,0.0675784581859004,14633758.0355837,2681607.96441633,0.15486868509833,91839,2589768.96441633,3829655,4490977,0.852744291498264
GA,8184573,3325710,3336880,2851740,139950,6662590,1521983,0.0305532015195455,6616134.34594076,1568438.65405924,0.191633534707216,85558,1482880.65405924,1390094,1533520,0.906472690281183
HI,1144899,507350,444290,318520,19110,951640,193259,0.00436401589983179,945004.58364856,199894.41635144,0.174595677305544,5142,194752.41635144,236593,279551,0.846332154061334
IA,2449083,1232320,920380,743210,27300,2152700,296383,0.0098718181534697,2137690.05844674,311392.94155326,0.127146749029437,42148,269244.94155326,525145,556692,0.943331321448844
ID,1391076,761130,482450,486580,11050,1243580,147496,0.00570278980781895,1234908.99934185,156167.000658152,0.112263456962921,7747,148420.000658152,287118,301987,0.950762781179322
IL,9929369,4313200,4076240,3037770,129460,8389440,1539929,0.038472163371322,8330943.69114852,1598425.30885148,0.160979545513061,83315,1515110.30885148,1777910,2055438,0.864978656617227
IN,5186682,2462590,2068430,1646430,76250,4531020,655662,0.0207782809911898,4499426.95620539,687255.043794609,0.132503794100855,73557,613698.043794609,1029957,1089869,0.945028255689445
KS,2225664,1113540,832130,717850,31980,1945670,279994,0.00892242320186806,1932103.59828033,293560.401719669,0.131897897310497,26172,267388.401719669,441366,475744,0.92773844756844
KY,3481908,1567570,1267240,1050580,51290,2834810,647098,0.0129998275745052,2815043.97017021,666864.029829794,0.191522587566873,40452,626412.029829794,692742,753298,0.919612158800368
LA,3547886,1268750,1430270,1190150,35630,2699020,848866,0.0123771239060611,2680200.78113482,867685.218865184,0.244564007655597,24089,843596.218865184,651315,737593,0.883027631769824
MA,5605769,2446560,2378990,1400250,87840,4825550,780219,0.0221289320808639,4791903.31283396,813865.68716604,0.145183593395668,138033,675832.68716604,1001823,1186724,0.844192078360259
MD,4789556,2038150,2061390,1519250,109710,4099540,690016,0.0187996067231268,4070955.49877119,718600.501228807,0.150034888667928,43329,675271.501228807,811143,973152,0.8335213820657
ME,1110530,539440,436860,257560,15900,976300,134230,0.0044771013440017,969492.639040067,141037.360959933,0.127000045887939,15533,125504.360959933,267617,290678,0.920664790593027
MI,7891382,3601060,3181300,2187400,98880,6782360,1109022,0.0311024409213391,6735069.23621816,1156312.76378184,0.146528550231359,57179,1099133.76378184,1668167,1777224,0.938636322714526
MN,4379474,2191530,1769870,1310360,49650,3961400,418074,0.0181661264612602,3933778.69537368,445695.304626322,0.101769140455297,39049,406646.304626322,854766,931323,0.917797584726244
MO,4760967,2227610,1858860,1448300,72870,4086470,674497,0.0187396705205599,4057976.63080822,702990.369191783,0.14765705563424,53206,649784.369191783,972912,1054847,0.922325228208451
MS,2259305,820580,903210,792880,29580,1723790,535515,0.00790492935140499,1711770.68140006,547534.318599942,0.242346349253395,23112,524422.318599942,463268,486126,0.952979268749254
MT,853173,429420,331410,228670,11140,760830,92343,0.00348900237176771,755525.027717765,97647.9722822349,0.114452722111735,7778,89869.9722822349,194008,210109,0.923368346905654
NC,8130287,3668510,3178480,2558860,129310,6846990,1283297,0.0313988201693805,6799248.59631358,1331038.40368642,0.163713581536103,101501,1229537.40368642,1633792,1729554,0.944631968704071
ND,593141,290560,224850,177120,6820,515410,77731,0.00236355915570206,511816.246120702,81324.7538792985,0.137108636697343,9362,71962.7538792985,111002,123003,0.902433273985187
NE,1475199,747960,565570,490280,17480,1313530,161669,0.00602356542905516,1304371.26514217,170827.734857831,0.115799790304787,20241,150586.734857831,284411,314416,0.904569105897919
NH,1119463,574020,448260,260500,19020,1022280,97183,0.00468795571232824,1015152.0383467,104310.961653304,0.0931794634153194,20990,83320.9616533037,242497,259025,0.936191487308175
NJ,7221704,3262560,3011870,2227660,117480,6274430,947274,0.0287731834332117,6230680.83496074,991023.165039264,0.137228438750642,51982,939041.165039264,1319660,1516598,0.870144890076342
NM,1641909,631450,672480,506250,14150,1303930,337979,0.00597954189847807,1294838.20221603,347070.797783966,0.211382480870722,7696,339374.797783966,340372,388025,0.877190902648025
NV,2419604,988070,1088230,776740,32110,2076300,343304,0.00952146422262699,2061822.76599292,357781.234007077,0.147867681656617,4895,352886.234007077,444107,506802,0.876292911235552
NY,15892070,6084820,6980990,4487760,273040,13065810,2826260,0.0599169881301556,12974707.1782199,2917362.82178009,0.183573494313836,197499,2719863.82178009,2854053,3376464,0.845278670230158
OH,9166177,4112020,3649940,2668170,383280,7761960,1404217,0.0355946753539767,7707838.86563908,1458338.13436092,0.15909993166845,107122,1351216.13436092,1816744,2057471,0.882998593904847
