filing_status,soi_returns,asec_returns,diff_M,ratio
joint_and_qss,54870439,60012850.25,5.14241125,1.09371915632022
married_separate,3292834,0,-3.292834,0
head_of_household,21786803,11294243.57,-10.49255943,0.518398388694294
single,73824221,76665410.64,2.84118964,1.03848587362676
total,153774297,147972504.46,-5.80179254,0.962270726296996
