state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,mfs_qss_returns,filing_adults_ht2,residual_nonfiling_adults_ht2basis,ht2_filing_share,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
AK,552701,268440,223470,179680,9100,491910,60791,0.00242436339576472,488878.243872151,63822.7561278495,0.115474291032311,,,64098,74203,0.863819522121747
AL,3795544,1566890,1250130,1349320,40410,2817020,978524,0.0138835969448418,2799658.04832739,995885.951672612,0.262382928948423,,,703486,769600,0.914093035343035
AR,2263794,1005890,713870,794450,24570,1719760,544034,0.00847578458152982,1709160.71777677,554633.282223233,0.245001657493232,,,438507,473587,0.925927020800824
AZ,5094916,2176000,1798260,1941620,37400,3974260,1120656,0.0195870189043766,3949765.70814038,1145150.29185962,0.224763331104894,,,928451,1095924,0.847185571262241
CA,29904012,12848720,11210590,12125020,249520,24059310,5844702,0.11857557376625,23911026.8577091,5992985.14229092,0.200407394910453,,,4263483,5168107,0.824960280427631
CO,4176604,2053570,1566200,1404610,48490,3619770,556834,0.0178399257772504,3597460.51273829,579143.487261706,0.138663729494514,,,610436,706995,0.863423362258573
CT,2841628,1286590,1100060,829040,35430,2386650,454978,0.0117625315576058,2371940.51907355,469687.480926454,0.165288166123945,,,509120,576682,0.882843577569614
DC,553653,124810,277260,137330,10090,402070,151583,0.00198158970245598,399591.94875826,154061.05124174,0.278262831126609,,,57147,78555,0.727477563490548
DE,739916,328130,283420,236770,10510,611550,128366,0.00301400547799377,607780.874631566,132135.125368434,0.178581251612932,,,145668,159740,0.911906848629022
FL,16061162,6581190,6227590,5010190,218190,12808780,3252382,0.0631276806253242,12729836.4996539,3331325.50034615,0.207414974106242,,,3255864,3888719,0.837258747675006
GA,7697936,3156130,2813900,3087100,101350,5970030,1727906,0.0294231103324129,5933235.31187424,1764700.68812576,0.229243356677136,,,1165204,1309121,0.890065929734532
HI,1136751,521680,419810,350470,15860,941490,195261,0.00464010468069063,935687.377412923,201063.622587077,0.17687569448989,,,203626,242415,0.839989274591094
IA,2398723,1236220,826220,757830,19960,2062440,336283,0.0101646724847248,2049728.70096497,348994.29903503,0.145491704975952,,,470885,506068,0.930477722361422
ID,1223080,667430,384760,476370,6830,1052190,170890,0.00518568624624358,1045705.10747868,177374.892521319,0.145023132191941,,,228202,244856,0.93198451334662
