state,gq_type,band,persons
AK,dorm_student,18_25,2149
AK,institutional,18_25,610
AK,institutional,26_34,965
AK,institutional,35_44,1755
AK,institutional,45_54,1890
AK,institutional,55_64,823
AK,institutional,65p,1069
AK,institutional,u18,391
AK,other_noninstitutional,18_25,5803
AK,other_noninstitutional,26_34,4033
AK,other_noninstitutional,35_44,4361
AK,other_noninstitutional,45_54,2251
AK,other_noninstitutional,55_64,2132
AK,other_noninstitutional,65p,1710
AK,other_noninstitutional,u18,116
AL,dorm_student,18_25,57731
AL,institutional,18_25,3020
AL,institutional,26_34,9140
AL,institutional,35_44,11643
AL,institutional,45_54,10882
AL,institutional,55_64,9447
AL,institutional,65p,23115
AL,institutional,u18,1947
AL,other_noninstitutional,18_25,1642
AL,other_noninstitutional,26_34,1585
AL,other_noninstitutional,35_44,2103
AL,other_noninstitutional,45_54,1462
AL,other_noninstitutional,55_64,2301
AL,other_noninstitutional,65p,3217
AL,other_noninstitutional,u18,2084
AR,dorm_student,18_25,27082
AR,institutional,18_25,2230
AR,institutional,26_34,7582
AR,institutional,35_44,8863
AR,institutional,45_54,6634
AR,institutional,55_64,5829
AR,institutional,65p,15713
AR,institutional,u18,1316
AR,other_noninstitutional,18_25,690
AR,other_noninstitutional,26_34,1418
AR,other_noninstitutional,35_44,918
AR,other_noninstitutional,45_54,2305
AR,other_noninstitutional,55_64,1128
AR,other_noninstitutional,65p,1086
AR,other_noninstitutional,u18,273
AZ,dorm_student,18_25,40845
AZ,institutional,18_25,5642
AZ,institutional,26_34,15426
AZ,institutional,35_44,16776
AZ,institutional,45_54,13089
AZ,institutional,55_64,9643
AZ,institutional,65p,19758
AZ,institutional,u18,2330
AZ,other_noninstitutional,18_25,4539
AZ,other_noninstitutional,26_34,3632
AZ,other_noninstitutional,35_44,2615
AZ,other_noninstitutional,45_54,4555
AZ,other_noninstitutional,55_64,6644
AZ,other_noninstitutional,65p,8790
AZ,other_noninstitutional,u18,648
CA,dorm_student,18_25,214670
CA,institutional,18_25,22012
CA,institutional,26_34,50626
CA,institutional,35_44,51660
CA,institutional,45_54,34839
CA,institutional,55_64,37214
CA,institutional,65p,104100
CA,institutional,u18,7632
CA,other_noninstitutional,18_25,70129
CA,other_noninstitutional,26_34,57422
CA,other_noninstitutional,35_44,47478
CA,other_noninstitutional,45_54,41301
CA,other_noninstitutional,55_64,52143
CA,other_noninstitutional,65p,77403
CA,other_noninstitutional,u18,6607
CO,dorm_student,18_25,43760
CO,institutional,18_25,3853
CO,institutional,26_34,8276
CO,institutional,35_44,9977
CO,institutional,45_54,5826
CO,institutional,55_64,4856
CO,institutional,65p,19103
CO,institutional,u18,1084
CO,other_noninstitutional,18_25,6452
CO,other_noninstitutional,26_34,6540
CO,other_noninstitutional,35_44,1886
CO,other_noninstitutional,45_54,4274
CO,other_noninstitutional,55_64,3351
CO,other_noninstitutional,65p,2001
CO,other_noninstitutional,u18,345
CT,dorm_student,18_25,65093
CT,institutional,18_25,3174
CT,institutional,26_34,3253
CT,institutional,35_44,3657
CT,institutional,45_54,1937
CT,institutional,55_64,4949
CT,institutional,65p,18849
CT,institutional,u18,905
CT,other_noninstitutional,18_25,2458
CT,other_noninstitutional,26_34,3486
CT,other_noninstitutional,35_44,2795
CT,other_noninstitutional,45_54,3836
CT,other_noninstitutional,55_64,1174
CT,other_noninstitutional,65p,3748
CT,other_noninstitutional,u18,422
DC,dorm_student,18_25,21285
DC,institutional,18_25,563
DC,institutional,26_34,1081
DC,institutional,35_44,90
DC,institutional,45_54,723
DC,institutional,55_64,567
DC,institutional,65p,2037
DC,institutional,u18,289
DC,other_noninstitutional,18_25,2074
DC,other_noninstitutional,26_34,2301
DC,other_noninstitutional,35_44,1331
DC,other_noninstitutional,45_54,1330
DC,other_noninstitutional,55_64,1149
DC,other_noninstitutional,65p,2909
DC,other_noninstitutional,u18,246
DE,dorm_student,18_25,10905
DE,institutional,18_25,703
DE,institutional,26_34,1133
DE,institutional,35_44,1494
DE,institutional,45_54,1278
DE,institutional,55_64,1076
DE,institutional,65p,3852
DE,institutional,u18,167
DE,other_noninstitutional,18_25,332
DE,other_noninstitutional,26_34,193
DE,other_noninstitutional,35_44,528
DE,other_noninstitutional,45_54,67
DE,other_noninstitutional,55_64,925
DE,other_noninstitutional,u18,35
FL,dorm_student,18_25,135570
FL,institutional,18_25,14712
FL,institutional,26_34,38699
FL,institutional,35_44,39777
FL,institutional,45_54,28553
FL,institutional,55_64,28025
FL,institutional,65p,103378
FL,institutional,u18,4478
FL,other_noninstitutional,18_25,19239
FL,other_noninstitutional,26_34,14372
FL,other_noninstitutional,35_44,9085
FL,other_noninstitutional,45_54,8042
FL,other_noninstitutional,55_64,10153
FL,other_noninstitutional,65p,20457
FL,other_noninstitutional,u18,2742
GA,dorm_student,18_25,78643
GA,institutional,18_25,11696
GA,institutional,26_34,25944
GA,institutional,35_44,27623
GA,institutional,45_54,16861
GA,institutional,55_64,12311
GA,institutional,65p,37251
GA,institutional,u18,2332
GA,other_noninstitutional,18_25,14182
GA,other_noninstitutional,26_34,8176
GA,other_noninstitutional,35_44,3540
GA,other_noninstitutional,45_54,2765
GA,other_noninstitutional,55_64,2863
GA,other_noninstitutional,65p,5263
GA,other_noninstitutional,u18,878
HI,dorm_student,18_25,7038
HI,institutional,18_25,358
HI,institutional,26_34,1348
HI,institutional,35_44,1256
HI,institutional,45_54,962
HI,institutional,55_64,716
HI,institutional,65p,4954
HI,institutional,u18,50
HI,other_noninstitutional,18_25,11133
HI,other_noninstitutional,26_34,4202
HI,other_noninstitutional,35_44,2246
HI,other_noninstitutional,45_54,841
HI,other_noninstitutional,55_64,2874
HI,other_noninstitutional,65p,2050
HI,other_noninstitutional,u18,846
