variable,both_spouses_M,exactly_one_spouse_M,persons_in_joint_units_M
ADJGINC,0.0095971282,121.984297113,126.9586365371
FEDTAX,0.00542852,95.2065639746,126.9586365371
EITCRED,0.0041686082,12.4183812452,126.9586365371
