state,persons,year
AK,670,2020
AL,37427,2020
AR,25852,2020
AZ,41179,2020
CA,186850,2020
CO,32287,2020
CT,47112,2020
DC,21454,2020
DE,9868,2020
FL,91839,2020
GA,85558,2020
HI,5142,2020
IA,42148,2020
ID,7747,2020
IL,83315,2020
IN,73557,2020
KS,26172,2020
KY,40452,2020
LA,24089,2020
MA,138033,2020
MD,43329,2020
ME,15533,2020
MI,57179,2020
MN,39049,2020
MO,53206,2020
MS,23112,2020
MT,7778,2020
NC,101501,2020
ND,9362,2020
NE,20241,2020
NH,20990,2020
NJ,51982,2020
NM,7696,2020
NV,4895,2020
NY,197499,2020
OH,107122,2020
OK,27338,2020
OR,20066,2020
PA,151748,2020
RI,21303,2020
SC,36564,2020
SD,10389,2020
TN,48451,2020
TX,132936,2020
UT,13589,2020
VA,84473,2020
VT,16177,2020
WA,34563,2020
WI,52445,2020
WV,15037,2020
WY,4338,2020
