band,pep_adults,filing_adults,residual_nonfiling_adults
18_25,35862410,24232055.9862454,11630354.0137546
26_34,40212154,34422757.7415545,5789396.25844546
35_44,41343192,35835712.2421313,5507479.75786869
45_54,41881967,35479835.9774325,6402131.02256747
55_64,42999287,35359569.9545035,7639717.04549649
65p,52677138,40104014.0981327,12573123.9018673
total_18p,254976148,205433946,49542202
