state,n_units,year,variant
AK,327720,2021,v0
AL,2072366,2021,v0
AR,1220784,2021,v0
AZ,3187328,2021,v0
CA,16779506,2021,v0
CO,2686406,2021,v0
CT,1650334,2021,v0
DC,342863,2021,v0
DE,456216,2021,v0
FL,9721721,2021,v0
GA,4508911,2021,v0
HI,637831,2021,v0
IA,1386091,2021,v0
ID,780867,2021,v0
IL,5552346,2021,v0
IN,2918521,2021,v0
KS,1238783,2021,v0
KY,1816943,2021,v0
LA,1804600,2021,v0
MA,3262589,2021,v0
MD,2777634,2021,v0
ME,644225,2021,v0
MI,4445168,2021,v0
MN,2600026,2021,v0
MO,2662338,2021,v0
MS,1138657,2021,v0
MT,496241,2021,v0
NC,4556118,2021,v0
ND,343615,2021,v0
NE,847601,2021,v0
NH,666522,2021,v0
NJ,4089847,2021,v0
NM,863411,2021,v0
NV,1410472,2021,v0
NY,8857200,2021,v0
OH,5193914,2021,v0
OK,1623695,2021,v0
OR,1929968,2021,v0
PA,5833266,2021,v0
RI,511414,2021,v0
SC,2218215,2021,v0
SD,383283,2021,v0
TN,2987725,2021,v0
TX,11840412,2021,v0
UT,1324196,2021,v0
VA,3858454,2021,v0
VT,301112,2021,v0
WA,3532875,2021,v0
WI,2688306,2021,v0
WV,728706,2021,v0
WY,251908,2021,v0
AK,311816,2021,gq_excluded
AL,2054862,2021,gq_excluded
AR,1211737,2021,gq_excluded
AZ,3164773,2021,gq_excluded
CA,16564268,2021,gq_excluded
CO,2657011,2021,gq_excluded
CT,1628771,2021,gq_excluded
DC,338425,2021,gq_excluded
DE,453842,2021,gq_excluded
FL,9644251,2021,gq_excluded
GA,4462157,2021,gq_excluded
HI,619152,2021,gq_excluded
IA,1372099,2021,gq_excluded
ID,775078,2021,gq_excluded
IL,5500960,2021,gq_excluded
IN,2888963,2021,gq_excluded
KS,1218696,2021,gq_excluded
KY,1792937,2021,gq_excluded
LA,1787165,2021,gq_excluded
MA,3218011,2021,gq_excluded
MD,2750259,2021,gq_excluded
ME,634455,2021,gq_excluded
MI,4389541,2021,gq_excluded
MN,2570650,2021,gq_excluded
MO,2632762,2021,gq_excluded
MS,1124999,2021,gq_excluded
MT,491102,2021,gq_excluded
NC,4481570,2021,gq_excluded
ND,336323,2021,gq_excluded
NE,837698,2021,gq_excluded
NH,658722,2021,gq_excluded
NJ,4046093,2021,gq_excluded
NM,853271,2021,gq_excluded
NV,1399089,2021,gq_excluded
NY,8740619,2021,gq_excluded
OH,5138373,2021,gq_excluded
OK,1600629,2021,gq_excluded
OR,1912710,2021,gq_excluded
PA,5753983,2021,gq_excluded
RI,502812,2021,gq_excluded
SC,2178052,2021,gq_excluded
SD,375289,2021,gq_excluded
TN,2959845,2021,gq_excluded
TX,11733360,2021,gq_excluded
UT,1313738,2021,gq_excluded
VA,3786388,2021,gq_excluded
VT,297529,2021,gq_excluded
WA,3482775,2021,gq_excluded
WI,2655984,2021,gq_excluded
WV,719811,2021,gq_excluded
WY,248669,2021,gq_excluded
AK,327720,2021,gq_differentiated
AL,2072366,2021,gq_differentiated
AR,1220784,2021,gq_differentiated
AZ,3187328,2021,gq_differentiated
CA,16779506,2021,gq_differentiated
CO,2686406,2021,gq_differentiated
CT,1650334,2021,gq_differentiated
DC,342863,2021,gq_differentiated
DE,456216,2021,gq_differentiated
FL,9721721,2021,gq_differentiated
GA,4508911,2021,gq_differentiated
HI,637831,2021,gq_differentiated
IA,1386091,2021,gq_differentiated
ID,780867,2021,gq_differentiated
IL,5552346,2021,gq_differentiated
IN,2918521,2021,gq_differentiated
KS,1238783,2021,gq_differentiated
KY,1816943,2021,gq_differentiated
LA,1804600,2021,gq_differentiated
MA,3262589,2021,gq_differentiated
MD,2777634,2021,gq_differentiated
ME,644225,2021,gq_differentiated
MI,4445168,2021,gq_differentiated
MN,2600026,2021,gq_differentiated
MO,2662338,2021,gq_differentiated
MS,1138657,2021,gq_differentiated
MT,496241,2021,gq_differentiated
NC,4556118,2021,gq_differentiated
ND,343615,2021,gq_differentiated
NE,847601,2021,gq_differentiated
NH,666522,2021,gq_differentiated
NJ,4089847,2021,gq_differentiated
NM,863411,2021,gq_differentiated
NV,1410472,2021,gq_differentiated
NY,8857200,2021,gq_differentiated
OH,5193914,2021,gq_differentiated
OK,1623695,2021,gq_differentiated
OR,1929968,2021,gq_differentiated
PA,5833266,2021,gq_differentiated
RI,511414,2021,gq_differentiated
SC,2218215,2021,gq_differentiated
SD,383283,2021,gq_differentiated
TN,2987725,2021,gq_differentiated
TX,11840412,2021,gq_differentiated
UT,1324196,2021,gq_differentiated
VA,3858454,2021,gq_differentiated
VT,301112,2021,gq_differentiated
WA,3532875,2021,gq_differentiated
WI,2688306,2021,gq_differentiated
WV,728706,2021,gq_differentiated
WY,251908,2021,gq_differentiated
