soi_variable,variable,asec_amount,asec_positive_M,soi_amount,asec_over_soi,asec_over_ssa_wages
agi_amt,ADJGINC,11948903269295.8,151.1891760686,11870288658000,1.00662280535552,
,TAXINC,9057691333316.59,126.3208751668,,,
,INCTOT,12780448527484.9,235.8448306646,,,
wages_amt,INCWAGE,9399418550897.11,162.4201152063,8189296921000,1.14776868412158,1.06505922824866
int_amt,INCINT,569090702269.462,143.6126508387,150180291000,3.78938340364158,
div_amt,INCDIVID,180125553772.65,33.2115564029,323813681000,0.556262951016731,
,INCRENT,144237590724.674,11.1649821089,,,
,INCBUS,457618786368.274,11.904143111,,,
,INCFARM,28723307852.8144,1.6672657913,,,
,INCSS,891035678649.233,54.0316800877,,,
,INCRETIR,185014398175.235,11.3194657609,,,
eitc_amt,EITCRED,39103941799.0204,18.8986749015,64132230000,0.609739312027983,
,FEDTAX,1450690295540.94,115.9006756338,,,
