variable,both_spouses_M,exactly_one_spouse_M,persons_in_joint_units_M
ADJGINC,0.00404228,116.95989698,117.09100312
FEDTAX,0,96.54078118,117.09100312
EITCRED,0,14.58890126,117.09100312
