band,pep_adults,filing_adults,residual_nonfiling_adults
18_25,36009492,24398532.4415648,11610959.5584352
26_34,39853595,34064281.5680201,5789313.43197992
35_44,40865552,35665277.9250694,5200274.07493058
45_54,42499778,35933631.2554735,6566146.74452648
55_64,42559216,35343964.0079957,7215251.99200434
65p,51041073,38952908.8018765,12088164.1981235
total_18p,252828706,204358596,48470110
