filing_status,soi_returns,asec_returns,diff_M,ratio
joint_and_qss,55322922,63481856.2553,8.1589342553,1.14747836810391
married_separate,3919416,0,-3.919416,0
head_of_household,21463538,15840535.6781,-5.6230023219,0.738020715787863
single,83652916,101789214.8417,18.1362988417,1.21680414394281
total,164358792,181111606.7751,16.7528147751,1.10192831531093
