state,age_band,income_tier,n_units,n_adults,year
AK,18_25,neg_zero,9318,9318,2020
AK,18_25,1_10k,18491,18491,2020
AK,18_25,10_25k,4942,5035,2020
AK,26_34,neg_zero,2470,2470,2020
AK,26_34,1_10k,11288,11288,2020
AK,26_34,10_25k,4826,6127,2020
AK,35_44,neg_zero,1472,1472,2020
AK,35_44,1_10k,6020,6522,2020
AK,35_44,10_25k,3065,4128,2020
AK,45_54,neg_zero,1074,1074,2020
AK,45_54,1_10k,3004,3065,2020
AK,45_54,10_25k,1046,1214,2020
AK,55_64,neg_zero,1984,2266,2020
AK,55_64,1_10k,4635,5015,2020
AK,55_64,10_25k,2993,3582,2020
AK,65_74,neg_zero,83,83,2020
AK,65_74,1_10k,720,757,2020
AK,65_74,10_25k,1948,2563,2020
AK,75p,neg_zero,219,219,2020
AK,75p,1_10k,1942,1985,2020
AK,75p,10_25k,2249,3529,2020
AL,18_25,neg_zero,147701,147827,2020
AL,18_25,1_10k,121194,122457,2020
AL,18_25,10_25k,31800,35437,2020
AL,26_34,neg_zero,31407,31582,2020
AL,26_34,1_10k,55414,57209,2020
AL,26_34,10_25k,31979,38807,2020
AL,35_44,neg_zero,24358,25071,2020
AL,35_44,1_10k,33815,35489,2020
AL,35_44,10_25k,24426,30311,2020
AL,45_54,neg_zero,20410,20815,2020
AL,45_54,1_10k,37367,39512,2020
AL,45_54,10_25k,23505,30307,2020
AL,55_64,neg_zero,16724,18164,2020
AL,55_64,1_10k,48397,52023,2020
AL,55_64,10_25k,33497,46044,2020
AL,65_74,neg_zero,6053,6572,2020
AL,65_74,1_10k,32957,35522,2020
AL,65_74,10_25k,27404,40784,2020
AL,75p,neg_zero,4452,4925,2020
AL,75p,1_10k,25412,27104,2020
AL,75p,10_25k,25258,34840,2020
AR,18_25,neg_zero,74515,74681,2020
AR,18_25,1_10k,60275,60594,2020
AR,18_25,10_25k,23954,29240,2020
AR,26_34,neg_zero,19615,20482,2020
AR,26_34,1_10k,31282,32834,2020
AR,26_34,10_25k,21274,25099,2020
AR,35_44,neg_zero,17299,17940,2020
AR,35_44,1_10k,20663,21580,2020
AR,35_44,10_25k,20359,25769,2020
AR,45_54,neg_zero,12546,13110,2020
AR,45_54,1_10k,17908,19475,2020
AR,45_54,10_25k,15364,20621,2020
AR,55_64,neg_zero,12617,13286,2020
AR,55_64,1_10k,26347,29028,2020
AR,55_64,10_25k,19124,28141,2020
AR,65_74,neg_zero,2225,2225,2020
AR,65_74,1_10k,16989,18189,2020
AR,65_74,10_25k,20046,32260,2020
AR,75p,neg_zero,1500,1987,2020
AR,75p,1_10k,12562,13321,2020
AR,75p,10_25k,14344,19756,2020
AZ,18_25,neg_zero,172861,173142,2020
AZ,18_25,1_10k,160222,161847,2020
AZ,18_25,10_25k,57343,61761,2020
AZ,26_34,neg_zero,51115,51463,2020
AZ,26_34,1_10k,59681,61405,2020
AZ,26_34,10_25k,38026,45823,2020
AZ,35_44,neg_zero,35141,36453,2020
AZ,35_44,1_10k,48046,50500,2020
AZ,35_44,10_25k,28977,36686,2020
AZ,45_54,neg_zero,37909,39416,2020
AZ,45_54,1_10k,34596,38019,2020
AZ,45_54,10_25k,30152,42468,2020
AZ,55_64,neg_zero,35019,37715,2020
AZ,55_64,1_10k,50020,54865,2020
AZ,55_64,10_25k,35627,53019,2020
AZ,65_74,neg_zero,9673,12466,2020
AZ,65_74,1_10k,41092,46396,2020
AZ,65_74,10_25k,34457,52479,2020
AZ,75p,neg_zero,10584,12553,2020
AZ,75p,1_10k,34806,38355,2020
AZ,75p,10_25k,27235,41718,2020
CA,18_25,neg_zero,972296,973882,2020
CA,18_25,1_10k,864727,868987,2020
CA,18_25,10_25k,299573,309181,2020
CA,26_34,neg_zero,315856,320529,2020
CA,26_34,1_10k,374689,387757,2020
CA,26_34,10_25k,250792,293674,2020
CA,35_44,neg_zero,183170,188875,2020
CA,35_44,1_10k,198747,214452,2020
CA,35_44,10_25k,198166,262261,2020
CA,45_54,neg_zero,159694,165699,2020
CA,45_54,1_10k,191716,211082,2020
CA,45_54,10_25k,185779,256436,2020
CA,55_64,neg_zero,179934,195487,2020
CA,55_64,1_10k,238169,268964,2020
CA,55_64,10_25k,222196,317222,2020
CA,65_74,neg_zero,93199,106719,2020
CA,65_74,1_10k,197482,223243,2020
CA,65_74,10_25k,250471,366341,2020
CA,75p,neg_zero,87610,101390,2020
CA,75p,1_10k,188428,203906,2020
CA,75p,10_25k,249559,348249,2020
CO,18_25,neg_zero,81974,81974,2020
CO,18_25,1_10k,127327,127600,2020
CO,18_25,10_25k,34356,35916,2020
CO,26_34,neg_zero,28532,28989,2020
CO,26_34,1_10k,51658,54008,2020
CO,26_34,10_25k,24141,31205,2020
CO,35_44,neg_zero,17167,17389,2020
CO,35_44,1_10k,32169,35068,2020
CO,35_44,10_25k,19407,26743,2020
CO,45_54,neg_zero,11696,12146,2020
CO,45_54,1_10k,23741,25704,2020
CO,45_54,10_25k,15493,20628,2020
CO,55_64,neg_zero,13224,13781,2020
CO,55_64,1_10k,30734,33888,2020
CO,55_64,10_25k,22082,31165,2020
CO,65_74,neg_zero,5376,6348,2020
CO,65_74,1_10k,23299,25391,2020
CO,65_74,10_25k,21533,32432,2020
CO,75p,neg_zero,3418,3634,2020
CO,75p,1_10k,19809,21145,2020
CO,75p,10_25k,15695,22187,2020
CT,18_25,neg_zero,58907,58907,2020
CT,18_25,1_10k,83192,83192,2020
CT,18_25,10_25k,20479,20865,2020
CT,26_34,neg_zero,17853,18475,2020
CT,26_34,1_10k,29622,30442,2020
