band,pep_adults,filing_adults,residual_nonfiling_adults
18_25,35245443,23682078.1436037,11563364.8563963
26_34,41666390,35157520.1020956,6508869.89790441
35_44,44712957,38530011.0687402,6182945.93125979
45_54,40645548,34250660.9210317,6394887.0789683
55_64,41940771,34308843.1214499,7631927.8785501
65p,59326707,46177436.4276556,13149270.5723444
total_18p,263537816,212106549.784577,51431266.2154233
