state,persons,year
AK,1710,2021
AL,38202,2021
AR,25132,2021
AZ,38822,2021
CA,181667,2021
CO,32321,2021
CT,47307,2021
DC,22126,2021
DE,10103,2021
FL,91625,2021
GA,81035,2021
HI,6303,2021
IA,41203,2021
ID,6954,2021
IL,83349,2021
IN,71451,2021
KS,25788,2021
KY,40029,2021
LA,24703,2021
MA,134026,2021
MD,47048,2021
ME,14384,2021
MI,57148,2021
MN,41877,2021
MO,52302,2021
MS,23419,2021
MT,8312,2021
NC,97255,2021
ND,9030,2021
NE,20474,2021
NH,20858,2021
NJ,49877,2021
NM,7092,2021
NV,3766,2021
NY,204277,2021
OH,106749,2021
OK,26810,2021
OR,23901,2021
PA,148389,2021
RI,24746,2021
SC,33329,2021
SD,8199,2021
TN,46670,2021
TX,130087,2021
UT,13529,2021
VA,77622,2021
VT,17226,2021
WA,34265,2021
WI,52534,2021
WV,13669,2021
WY,3878,2021
