band,pep_adults,filing_adults,residual_nonfiling_adults
18_25,36431822,24612755.6732362,11819066.3267638
26_34,38797249,33361398.5090262,5435850.49097384
35_44,40511278,35347426.4794056,5163851.5205944
45_54,43210530,37029528.2912327,6181001.70876726
55_64,41242537,34659868.7711124,6582668.22888757
65p,47861168,36641235.2759869,11219932.7240131
total_18p,248054584,201652213,46402371
