arrangement,persons_M,pct_of_population
total population,332.38248508,100
unmarried partners (RELATE 1113/1114/1116/1117),9.5004609,2.8582916749399
persons in households containing an unmarried partner,27.39372012,8.24162564203908
children under 18 in those households,5.91557828,1.77975030139636
persons in multi-family households (any FAMUNIT > 1),18.85580358,5.6729233417524
other relatives of the householder (RELATE 501/701/901/1001),23.94075943,7.20277406441491
non-relatives other than partners (RELATE 1241/1260),3.67449441,1.10550181641358
group-quarters residents,0.23658117,0.0711773876842693
UNION: persons in any household above (excl. GQ),90.62675264,27.2658027146609
