band,pep_adults,filing_adults,residual_nonfiling_adults
18_25,34484205,25441819.2109953,9042385.7890047
26_34,41299207,36454469.9723223,4844737.02767767
35_44,42909680,38581234.7969534,4328445.20304665
45_54,41101632,36093680.7094069,5007951.29059315
55_64,43056654,36327571.0421681,6729082.95783187
65p,54459571,43645940.268154,10813630.731846
total_18p,257310949,216544716,40766233
