state,n_units,year,variant
AK,325284,2018,v0
AL,1982072,2018,v0
AR,1206764,2018,v0
AZ,3088520,2018,v0
CA,16878549,2018,v0
CO,2627326,2018,v0
CT,1642286,2018,v0
DC,366144,2018,v0
DE,439208,2018,v0
FL,9559077,2018,v0
GA,4390498,2018,v0
HI,656821,2018,v0
IA,1382786,2018,v0
ID,714030,2018,v0
IL,5544354,2018,v0
IN,2864901,2018,v0
KS,1232342,2018,v0
KY,1826964,2018,v0
LA,1850620,2018,v0
MA,3239138,2018,v0
MD,2759080,2018,v0
ME,632956,2018,v0
MI,4377795,2018,v0
MN,2542360,2018,v0
MO,2662936,2018,v0
MS,1138237,2018,v0
MT,477812,2018,v0
NC,4467700,2018,v0
ND,345881,2018,v0
NE,836004,2018,v0
NH,649797,2018,v0
NJ,3984528,2018,v0
NM,841722,2018,v0
NV,1365691,2018,v0
NY,8748357,2018,v0
OH,5164345,2018,v0
OK,1612813,2018,v0
OR,1900464,2018,v0
PA,5741310,2018,v0
RI,498472,2018,v0
SC,2167583,2018,v0
SD,375120,2018,v0
TN,2854597,2018,v0
TX,11451878,2018,v0
UT,1215566,2018,v0
VA,3776514,2018,v0
VT,296120,2018,v0
WA,3428362,2018,v0
WI,2645801,2018,v0
WV,753923,2018,v0
WY,256848,2018,v0
AK,306626,2018,gq_excluded
AL,1960764,2018,gq_excluded
AR,1192059,2018,gq_excluded
AZ,3057929,2018,gq_excluded
CA,16661387,2018,gq_excluded
CO,2591588,2018,gq_excluded
CT,1610993,2018,gq_excluded
DC,358768,2018,gq_excluded
DE,432999,2018,gq_excluded
FL,9472486,2018,gq_excluded
GA,4338558,2018,gq_excluded
HI,638181,2018,gq_excluded
IA,1358764,2018,gq_excluded
ID,706725,2018,gq_excluded
IL,5483258,2018,gq_excluded
IN,2822592,2018,gq_excluded
KS,1206860,2018,gq_excluded
KY,1800250,2018,gq_excluded
LA,1824005,2018,gq_excluded
MA,3188592,2018,gq_excluded
MD,2730151,2018,gq_excluded
ME,624088,2018,gq_excluded
MI,4313616,2018,gq_excluded
MN,2498764,2018,gq_excluded
MO,2622463,2018,gq_excluded
MS,1121779,2018,gq_excluded
MT,468645,2018,gq_excluded
NC,4386326,2018,gq_excluded
ND,336294,2018,gq_excluded
NE,823287,2018,gq_excluded
NH,640122,2018,gq_excluded
NJ,3934457,2018,gq_excluded
NM,832420,2018,gq_excluded
NV,1356573,2018,gq_excluded
NY,8617985,2018,gq_excluded
OH,5085525,2018,gq_excluded
OK,1586145,2018,gq_excluded
OR,1875855,2018,gq_excluded
PA,5641060,2018,gq_excluded
RI,488965,2018,gq_excluded
SC,2138869,2018,gq_excluded
SD,363927,2018,gq_excluded
TN,2824618,2018,gq_excluded
TX,11327968,2018,gq_excluded
UT,1204288,2018,gq_excluded
VA,3707341,2018,gq_excluded
VT,291962,2018,gq_excluded
WA,3372644,2018,gq_excluded
WI,2612207,2018,gq_excluded
WV,745797,2018,gq_excluded
WY,251078,2018,gq_excluded
AK,325284,2018,gq_differentiated
AL,1982072,2018,gq_differentiated
AR,1206764,2018,gq_differentiated
AZ,3088520,2018,gq_differentiated
CA,16878549,2018,gq_differentiated
CO,2627326,2018,gq_differentiated
CT,1642286,2018,gq_differentiated
DC,366144,2018,gq_differentiated
DE,439208,2018,gq_differentiated
FL,9559077,2018,gq_differentiated
GA,4390498,2018,gq_differentiated
HI,656821,2018,gq_differentiated
IA,1382786,2018,gq_differentiated
ID,714030,2018,gq_differentiated
IL,5544354,2018,gq_differentiated
IN,2864901,2018,gq_differentiated
KS,1232342,2018,gq_differentiated
KY,1826964,2018,gq_differentiated
LA,1850620,2018,gq_differentiated
MA,3239138,2018,gq_differentiated
MD,2759080,2018,gq_differentiated
ME,632956,2018,gq_differentiated
MI,4377795,2018,gq_differentiated
MN,2542360,2018,gq_differentiated
MO,2662936,2018,gq_differentiated
MS,1138237,2018,gq_differentiated
MT,477812,2018,gq_differentiated
NC,4467700,2018,gq_differentiated
ND,345881,2018,gq_differentiated
NE,836004,2018,gq_differentiated
NH,649797,2018,gq_differentiated
NJ,3984528,2018,gq_differentiated
NM,841722,2018,gq_differentiated
NV,1365691,2018,gq_differentiated
NY,8748357,2018,gq_differentiated
OH,5164345,2018,gq_differentiated
OK,1612813,2018,gq_differentiated
OR,1900464,2018,gq_differentiated
PA,5741310,2018,gq_differentiated
RI,498472,2018,gq_differentiated
SC,2167583,2018,gq_differentiated
SD,375120,2018,gq_differentiated
TN,2854597,2018,gq_differentiated
TX,11451878,2018,gq_differentiated
UT,1215566,2018,gq_differentiated
VA,3776514,2018,gq_differentiated
VT,296120,2018,gq_differentiated
WA,3428362,2018,gq_differentiated
WI,2645801,2018,gq_differentiated
WV,753923,2018,gq_differentiated
WY,256848,2018,gq_differentiated
