state,age_band,income_tier,n_units,n_adults,year
AK,18_25,neg_zero,14727,14727,2021
AK,18_25,1_10k,17169,17169,2021
AK,18_25,10_25k,2729,2803,2021
AK,26_34,neg_zero,2848,2848,2021
AK,26_34,1_10k,6648,6881,2021
AK,26_34,10_25k,3844,4389,2021
AK,35_44,neg_zero,1958,1958,2021
AK,35_44,1_10k,5406,5406,2021
AK,35_44,10_25k,2111,3149,2021
AK,45_54,neg_zero,921,1039,2021
AK,45_54,1_10k,4630,5071,2021
AK,45_54,10_25k,2129,2759,2021
AK,55_64,neg_zero,1792,1932,2021
AK,55_64,1_10k,5570,5925,2021
AK,55_64,10_25k,2678,3998,2021
AK,65_74,neg_zero,363,363,2021
AK,65_74,1_10k,3158,3418,2021
AK,65_74,10_25k,2213,3372,2021
AK,75p,neg_zero,579,645,2021
AK,75p,1_10k,2447,2509,2021
AK,75p,10_25k,682,1196,2021
AL,18_25,neg_zero,144152,144579,2021
AL,18_25,1_10k,108947,109283,2021
AL,18_25,10_25k,34824,37084,2021
AL,18_25,25_50k,69,138,2021
AL,26_34,neg_zero,35466,36017,2021
AL,26_34,1_10k,53675,55939,2021
AL,26_34,10_25k,36385,40687,2021
AL,26_34,25_50k,451,902,2021
AL,35_44,neg_zero,29145,30108,2021
AL,35_44,1_10k,46554,48702,2021
AL,35_44,10_25k,30214,36723,2021
AL,35_44,25_50k,788,1576,2021
AL,45_54,neg_zero,23919,24293,2021
AL,45_54,1_10k,35610,37573,2021
AL,45_54,10_25k,25972,33975,2021
AL,45_54,25_50k,980,1960,2021
AL,55_64,neg_zero,21796,24052,2021
AL,55_64,1_10k,49888,54123,2021
AL,55_64,10_25k,37807,51339,2021
AL,55_64,25_50k,483,966,2021
AL,65_74,neg_zero,7147,7981,2021
AL,65_74,1_10k,30754,32719,2021
AL,65_74,10_25k,31237,44905,2021
AL,65_74,25_50k,19,38,2021
AL,75p,neg_zero,5689,6369,2021
AL,75p,1_10k,26905,28778,2021
AL,75p,10_25k,24711,33858,2021
AL,75p,25_50k,190,380,2021
AR,18_25,neg_zero,77283,77305,2021
AR,18_25,1_10k,57324,57824,2021
AR,18_25,10_25k,26158,28240,2021
AR,18_25,25_50k,321,642,2021
AR,26_34,neg_zero,19163,19560,2021
AR,26_34,1_10k,27974,29254,2021
AR,26_34,10_25k,16522,20206,2021
AR,26_34,25_50k,247,494,2021
AR,35_44,neg_zero,16058,16561,2021
AR,35_44,1_10k,20869,22870,2021
AR,35_44,10_25k,17290,24062,2021
AR,35_44,25_50k,563,1126,2021
AR,45_54,neg_zero,12853,13095,2021
AR,45_54,1_10k,18566,19680,2021
AR,45_54,10_25k,14072,19910,2021
AR,45_54,25_50k,479,958,2021
AR,55_64,neg_zero,14411,15088,2021
AR,55_64,1_10k,28996,31781,2021
AR,55_64,10_25k,21321,29351,2021
AR,55_64,25_50k,172,344,2021
AR,65_74,neg_zero,3035,3352,2021
AR,65_74,1_10k,20767,21943,2021
AR,65_74,10_25k,21025,31756,2021
AR,65_74,25_50k,161,322,2021
AR,75p,neg_zero,3670,4408,2021
AR,75p,1_10k,14456,15254,2021
AR,75p,10_25k,15924,22147,2021
AR,75p,25_50k,345,690,2021
AZ,18_25,neg_zero,155000,155064,2021
AZ,18_25,1_10k,133804,135783,2021
AZ,18_25,10_25k,49998,52349,2021
AZ,18_25,25_50k,242,484,2021
AZ,26_34,neg_zero,52844,53652,2021
AZ,26_34,1_10k,65557,67732,2021
AZ,26_34,10_25k,31759,38345,2021
AZ,26_34,25_50k,412,824,2021
AZ,35_44,neg_zero,37525,38174,2021
AZ,35_44,1_10k,38914,42270,2021
AZ,35_44,10_25k,28505,38599,2021
AZ,35_44,25_50k,1023,2046,2021
AZ,45_54,neg_zero,32985,34433,2021
AZ,45_54,1_10k,39372,43651,2021
AZ,45_54,10_25k,27180,37095,2021
AZ,45_54,25_50k,872,1744,2021
AZ,55_64,neg_zero,33046,36463,2021
AZ,55_64,1_10k,49745,55520,2021
AZ,55_64,10_25k,28972,40284,2021
AZ,55_64,25_50k,538,1076,2021
AZ,65_74,neg_zero,13583,16127,2021
AZ,65_74,1_10k,38831,43277,2021
AZ,65_74,10_25k,38018,58135,2021
AZ,65_74,25_50k,301,602,2021
AZ,75p,neg_zero,9538,11183,2021
AZ,75p,1_10k,33977,37720,2021
AZ,75p,10_25k,27993,42680,2021
CA,18_25,neg_zero,1029174,1031305,2021
CA,18_25,1_10k,747657,749962,2021
CA,18_25,10_25k,266949,277654,2021
CA,18_25,25_50k,880,1760,2021
CA,26_34,neg_zero,348954,355701,2021
CA,26_34,1_10k,379266,395443,2021
CA,26_34,10_25k,237078,276628,2021
CA,26_34,25_50k,2644,5288,2021
CA,35_44,neg_zero,212607,220193,2021
CA,35_44,1_10k,235742,258538,2021
CA,35_44,10_25k,205914,264967,2021
CA,35_44,25_50k,6615,13230,2021
CA,45_54,neg_zero,185572,197797,2021
CA,45_54,1_10k,191998,215367,2021
CA,45_54,10_25k,176723,241158,2021
CA,45_54,25_50k,4840,9680,2021
CA,55_64,neg_zero,207490,228960,2021
CA,55_64,1_10k,243221,276224,2021
CA,55_64,10_25k,226769,318109,2021
CA,55_64,25_50k,5597,11194,2021
CA,65_74,neg_zero,111873,132054,2021
CA,65_74,1_10k,211154,238820,2021
CA,65_74,10_25k,264660,383167,2021
CA,65_74,25_50k,2508,5016,2021
CA,75p,neg_zero,102849,118303,2021
CA,75p,1_10k,190921,207764,2021
CA,75p,10_25k,245817,338662,2021
CA,75p,25_50k,1671,3342,2021
CO,18_25,neg_zero,84031,84162,2021
CO,18_25,1_10k,108624,109176,2021
CO,18_25,10_25k,42764,45120,2021
CO,18_25,25_50k,616,1232,2021
CO,26_34,neg_zero,30586,31501,2021
CO,26_34,1_10k,46429,47268,2021
CO,26_34,10_25k,25679,30273,2021
CO,26_34,25_50k,578,1156,2021
CO,35_44,neg_zero,19342,20209,2021
CO,35_44,1_10k,29530,31673,2021
CO,35_44,10_25k,22376,29852,2021
CO,35_44,25_50k,328,656,2021
CO,45_54,neg_zero,16896,18304,2021
CO,45_54,1_10k,23904,26161,2021
CO,45_54,10_25k,16018,20293,2021
CO,45_54,25_50k,360,720,2021
CO,55_64,neg_zero,22237,23648,2021
CO,55_64,1_10k,32035,34245,2021
CO,55_64,10_25k,17302,24581,2021
CO,55_64,25_50k,284,568,2021
CO,65_74,neg_zero,6290,7057,2021
CO,65_74,1_10k,25990,28590,2021
CO,65_74,10_25k,21269,30852,2021
CO,65_74,25_50k,260,520,2021
CO,75p,neg_zero,6088,7596,2021
CO,75p,1_10k,17132,18258,2021
CO,75p,10_25k,15798,21397,2021
CO,75p,25_50k,19,38,2021
CT,18_25,neg_zero,66469,66469,2021
CT,18_25,1_10k,92736,92881,2021
CT,18_25,10_25k,18041,18489,2021
CT,26_34,neg_zero,19175,19462,2021
CT,26_34,1_10k,29524,30344,2021
CT,26_34,10_25k,15250,16983,2021
CT,26_34,25_50k,290,580,2021
CT,35_44,neg_zero,12166,12349,2021
CT,35_44,1_10k,21650,22686,2021
CT,35_44,10_25k,12904,16595,2021
CT,35_44,25_50k,781,1562,2021
CT,45_54,neg_zero,9844,10545,2021
CT,45_54,1_10k,16260,17113,2021
CT,45_54,10_25k,11113,14073,2021
CT,45_54,25_50k,18,36,2021
CT,55_64,neg_zero,12273,12899,2021
CT,55_64,1_10k,22957,24945,2021
CT,55_64,10_25k,13140,16448,2021
CT,55_64,25_50k,206,412,2021
CT,65_74,neg_zero,7387,7831,2021
CT,65_74,1_10k,19272,20696,2021
CT,65_74,10_25k,12381,17067,2021
CT,65_74,25_50k,176,352,2021
CT,75p,neg_zero,4722,5129,2021
CT,75p,1_10k,16375,16780,2021
CT,75p,10_25k,12349,16549,2021
CT,75p,25_50k,49,98,2021
DC,18_25,neg_zero,20822,20822,2021
DC,18_25,1_10k,10462,10462,2021
DC,18_25,10_25k,2436,2626,2021
DC,26_34,neg_zero,7049,7432,2021
DC,26_34,1_10k,5842,5902,2021
DC,26_34,10_25k,3024,3390,2021
DC,26_34,25_50k,184,368,2021
DC,35_44,neg_zero,2706,2706,2021
DC,35_44,1_10k,5822,6112,2021
DC,35_44,10_25k,3535,3941,2021
