soi_variable,variable,asec_amount,asec_positive_M,soi_amount,asec_over_soi,asec_over_ssa_wages
agi_amt,ADJGINC,10907534671572,147.88048262,11558868040000,0.943650765267496,
,TAXINC,8226863915286.31,122.87997012,,,
,INCTOT,11695391997995.8,231.97735096,,,
wages_amt,INCWAGE,8723976845921.43,158.9382038,7829852465000,1.11419428206575,1.03463818881316
int_amt,INCINT,351317992147.62,135.51655424,125829383000,2.79201871432223,
div_amt,INCDIVID,150976844661.51,31.15306678,314136704000,0.480608737339748,
,INCRENT,149190727870.34,10.85139707,,,
,INCBUS,450982133012.33,11.60003087,,,
,INCFARM,29643209947.65,1.63510097,,,
,INCSS,837922530042.77,53.87051035,,,
,INCRETIR,179698357129.46,10.59067066,,,
eitc_amt,EITCRED,41300310676.5,19.7369101,64019720000,0.645118577158725,
,FEDTAX,1288266901833.13,112.14283332,,,
