band,pep_adults,filing_adults,residual_nonfiling_adults
18_25,34436567,24735273.7315669,9701293.26843308
26_34,41214594,35580399.8319678,5634194.16803221
35_44,43427547,37995415.9818,5432131.01819998
45_54,40698824,34442916.7301324,6255907.26986758
55_64,42790580,35198023.5931616,7592556.4068384
65p,55892264,44050676.1313713,11841587.8686287
total_18p,258460376,212002706,46457670
