filing_status,soi_returns,asec_returns,diff_M,ratio
joint_and_qss,53924864,56346033.455,2.421169455,1.04489894411231
married_separate,2949371,0,-2.949371,0
head_of_household,22077498,11472851.21,-10.60464679,0.519662654255478
single,69579590,70519028.85,0.939438849999994,1.01350164394473
total,148531323,138337913.515,-10.193409485,0.931371987543664
