state,age_band,income_tier,n_units,year
CO,55_64,1_10k,31212,2022
CO,55_64,10_25k,21098,2022
CO,55_64,25_50k,217,2022
CO,65_74,neg_zero,7164,2022
CO,65_74,1_10k,20263,2022
CO,65_74,10_25k,22360,2022
CO,65_74,25_50k,1210,2022
CO,75p,neg_zero,4291,2022
CO,75p,1_10k,20526,2022
CO,75p,10_25k,16206,2022
CO,75p,25_50k,652,2022
CT,18_25,neg_zero,58858,2022
CT,18_25,1_10k,72963,2022
CT,18_25,10_25k,24054,2022
CT,18_25,25_50k,37,2022
CT,26_34,neg_zero,17815,2022
CT,26_34,1_10k,22197,2022
CT,26_34,10_25k,15295,2022
CT,26_34,25_50k,110,2022
CT,35_44,neg_zero,14700,2022
CT,35_44,1_10k,16352,2022
CT,35_44,10_25k,15432,2022
CT,35_44,25_50k,355,2022
CT,45_54,neg_zero,9569,2022
CT,45_54,1_10k,11475,2022
CT,45_54,10_25k,13526,2022
CT,45_54,25_50k,675,2022
CT,55_64,neg_zero,13081,2022
CT,55_64,1_10k,22330,2022
CT,55_64,10_25k,14917,2022
CT,55_64,25_50k,300,2022
CT,65_74,neg_zero,6938,2022
CT,65_74,1_10k,15463,2022
CT,65_74,10_25k,17055,2022
CT,65_74,25_50k,336,2022
CT,75p,neg_zero,5890,2022
CT,75p,1_10k,17220,2022
CT,75p,10_25k,11642,2022
CT,75p,25_50k,229,2022
DC,18_25,neg_zero,12458,2022
DC,18_25,1_10k,8922,2022
DC,18_25,10_25k,3875,2022
DC,26_34,neg_zero,4994,2022
DC,26_34,1_10k,8070,2022
DC,26_34,10_25k,2571,2022
DC,26_34,25_50k,191,2022
DC,35_44,neg_zero,2222,2022
DC,35_44,1_10k,3595,2022
DC,35_44,10_25k,2980,2022
DC,45_54,neg_zero,3000,2022
DC,45_54,1_10k,2918,2022
DC,45_54,10_25k,1226,2022
DC,55_64,neg_zero,2113,2022
DC,55_64,1_10k,4467,2022
DC,55_64,10_25k,3007,2022
DC,65_74,neg_zero,1527,2022
DC,65_74,1_10k,3636,2022
DC,65_74,10_25k,2470,2022
DC,75p,neg_zero,583,2022
DC,75p,1_10k,3243,2022
DC,75p,10_25k,2369,2022
DE,18_25,neg_zero,18423,2022
DE,18_25,1_10k,15709,2022
DE,18_25,10_25k,5030,2022
DE,26_34,neg_zero,4536,2022
DE,26_34,1_10k,7350,2022
DE,26_34,10_25k,4772,2022
DE,26_34,25_50k,114,2022
DE,35_44,neg_zero,4481,2022
DE,35_44,1_10k,5217,2022
DE,35_44,10_25k,3027,2022
DE,35_44,25_50k,265,2022
DE,45_54,neg_zero,2551,2022
DE,45_54,1_10k,2789,2022
DE,45_54,10_25k,2032,2022
DE,45_54,25_50k,55,2022
DE,55_64,neg_zero,2328,2022
DE,55_64,1_10k,6245,2022
DE,55_64,10_25k,5354,2022
DE,65_74,neg_zero,1529,2022
DE,65_74,1_10k,4465,2022
DE,65_74,10_25k,3830,2022
DE,65_74,25_50k,101,2022
DE,75p,neg_zero,1627,2022
DE,75p,1_10k,3776,2022
DE,75p,10_25k,3652,2022
DE,75p,25_50k,58,2022
FL,18_25,neg_zero,470172,2022
FL,18_25,1_10k,359934,2022
FL,18_25,10_25k,132250,2022
FL,18_25,25_50k,538,2022
FL,26_34,neg_zero,159262,2022
FL,26_34,1_10k,156854,2022
FL,26_34,10_25k,105126,2022
FL,26_34,25_50k,3215,2022
FL,35_44,neg_zero,99939,2022
FL,35_44,1_10k,118882,2022
FL,35_44,10_25k,95502,2022
FL,35_44,25_50k,2265,2022
FL,45_54,neg_zero,87855,2022
FL,45_54,1_10k,100427,2022
FL,45_54,10_25k,89775,2022
FL,45_54,25_50k,2522,2022
FL,55_64,neg_zero,116502,2022
FL,55_64,1_10k,145838,2022
FL,55_64,10_25k,133440,2022
FL,55_64,25_50k,5900,2022
FL,65_74,neg_zero,65430,2022
FL,65_74,1_10k,150264,2022
FL,65_74,10_25k,154955,2022
FL,65_74,25_50k,5191,2022
FL,75p,neg_zero,62692,2022
