filing_status,soi_returns,asec_returns,diff_M,ratio
joint_and_qss,54294820,57898458.52,3.60363852,1.06637168186578
married_separate,2977192,0,-2.977192,0
head_of_household,22134303,11965429.64,-10.16887336,0.540583077768476
single,71086947,72724106.55,1.63715955,1.02303038207563
total,150493262,142587994.71,-7.90526729,0.947470955277719
