state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,mfs_qss_returns,filing_adults_ht2,residual_nonfiling_adults_ht2basis,ht2_filing_share,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
AK,556208,261930,212820,180230,8610,474750,81458,0.00233925949022424,470713.729391112,85494.2706088884,0.153709171045523,,,67431,78415,0.859924759293503
AL,3818708,1558600,1243950,1304430,40980,2802550,1016158,0.0138091452013227,2778723.03803067,1039984.96196933,0.272339482874661,,,722572,792731,0.911497090437992
AR,2274596,1001160,708850,783500,24200,1710010,564586,0.00842581805345623,1695471.6890913,579124.3109087,0.254605350096764,,,447995,484023,0.925565520646746
AZ,5179644,2209770,1819690,1902290,39210,4029460,1150184,0.0198545603906876,3995201.98848301,1184442.01151699,0.228672474694591,,,966382,1142265,0.846022595457271
CA,30201733,12842910,11266680,11748320,258010,24109590,6092143,0.118796392233629,23904613.0026133,6297119.99738673,0.208501942500675,,,4399639,5347279,0.822780894731694
CO,4256645,2069580,1588930,1388970,50440,3658510,598135,0.0180267598474571,3627405.76327472,629239.236725276,0.147825162005588,,,633522,738694,0.857624401985125
CT,2845696,1277070,1098000,816470,35330,2375070,470626,0.0117028015533373,2354877.4244654,490818.575534603,0.172477515354628,,,517317,589139,0.878089890501223
DC,560993,124480,275800,133630,10000,400280,160713,0.0019723197235323,396876.864877671,164116.135122329,0.292545780646692,,,58256,80305,0.725434281800635
DE,747997,331090,284770,233500,10730,615860,132137,0.00303455787182622,610624.028189173,137372.971810827,0.183654442211435,,,151136,166287,0.908886443317878
FL,16399692,6567350,6275270,4920610,218950,12842620,3557072,0.0632800857595441,12733433.5025864,3666258.49741363,0.223556545904254,,,3365750,4035582,0.834018488535235
GA,7813935,3139290,2814020,2989740,102810,5953310,1860625,0.0293340430031529,5902695.6341683,1911239.3658317,0.244593711853465,,,1208692,1363309,0.886586973312727
HI,1147636,513220,420620,338430,16100,933840,213796,0.00460135667688468,925900.598324583,221735.401675417,0.193210566482245,,,210016,251252,0.835877923359814
IA,2409511,1230320,822260,752610,20260,2052580,356931,0.0101137803990405,2035129.19783804,374381.802161963,0.155376672761387,,,481404,519242,0.927128391000728
ID,1251323,683990,394080,479150,7350,1078070,173253,0.00531202839099746,1068904.37123681,182418.62876319,0.145780608814183,,,238549,256740,0.929146217963699
IL,9998337,4411360,3842480,3486550,103880,8253840,1744497,0.0406695598752868,8183666.78925231,1814670.21074769,0.181497204059805,,,1642577,1899364,0.864803692183278
IN,5066050,2428230,1858500,1717600,58910,4286730,779320,0.0211222197673069,4250284.70814694,815765.29185306,0.161025906150366,,,932284,1000256,0.932045396378527
KS,2203022,1115630,754730,748880,23430,1870360,332662,0.00921591865220811,1854458.41159338,348563.588406615,0.158220657082233,,,396946,439197,0.90379943396699
KY,3433108,1548340,1112120,1079300,40040,2660460,772648,0.0131090180165602,2637841.07108136,795266.928918638,0.231646347542413,,,626719,691416,0.906428257373275
LA,3568090,1332030,1287790,1307640,28970,2619820,948270,0.0129087705059068,2597546.58774812,970543.412251876,0.272006427038521,,,586412,679173,0.86342066012636
MA,5517352,2404390,2175110,1443950,65270,4579500,937852,0.0225648000747381,4540565.61084064,976786.389159356,0.177038983403516,,,917048,1100585,0.833236869483048
MD,4717213,2027060,1892670,1599760,89280,3919730,797483,0.0193138822572231,3886404.90048704,830808.099512961,0.176122659611292,,,728604,878137,0.829715636626176
