soi_variable,variable,asec_amount,asec_positive_M,soi_amount,asec_over_soi,asec_over_ssa_wages
agi_amt,ADJGINC,14382531674074.2,156.81386705,,,
,TAXINC,11113502246925,132.65629098,,,
,INCTOT,15348932891784.8,241.64811808,,,
wages_amt,INCWAGE,11170720870963,163.95812509,,,
int_amt,INCINT,702128964931.27,153.22477258,,,
div_amt,INCDIVID,228094115580.32,38.67075685,,,
,INCRENT,252205686121.03,11.07727113,,,
,INCBUS,579378547424.64,12.32671994,,,
,INCFARM,43934995223.11,1.86744087,,,
,INCSS,1135455639222.63,57.02159368,,,
,INCRETIR,225201356531.47,11.27653871,,,
eitc_amt,EITCRED,39798953986.12,16.82187171,,,
,FEDTAX,1825981313540.19,124.1630393,,,
