arrangement,persons_M,pct_of_population
total population,316.16794859,100
unmarried partners (RELATE 1113/1114/1116/1117),7.68265365,2.42992804433909
persons in households containing an unmarried partner,22.48124979,7.11054042329674
children under 18 in those households,5.49136622,1.73685101367473
persons in multi-family households (any FAMUNIT > 1),18.07902693,5.71817194330615
other relatives of the householder (RELATE 501/701/901/1001),21.38174022,6.76277918598491
non-relatives other than partners (RELATE 1241/1260),3.89925617,1.23328635536567
group-quarters residents,0.18032161,0.0570334883103022
UNION: persons in any household above (excl. GQ),83.78066989,26.49878656696
