soi_variable,variable,asec_amount,asec_positive_M,soi_amount,asec_over_soi,asec_over_ssa_wages
agi_amt,ADJGINC,10220201001298.6,146.10597098,10929347345000,0.935115398814201,
,TAXINC,7561696121129.6,122.17135171,,,
,INCTOT,11149192466258.5,231.20675934,,,
wages_amt,INCWAGE,8328950506214.36,157.18366088,7500456658000,1.11045912082309,1.03831015678747
int_amt,INCINT,372650468596.46,136.6159002,105229425000,3.54131431010347,
div_amt,INCDIVID,132786737638.12,31.1699582,275811907000,0.481439467506818,
,INCRENT,103518519837.72,10.99564918,,,
,INCBUS,431423453003.81,11.77436141,,,
,INCFARM,30112841527.97,1.82525741,,,
,INCSS,813950153149.11,52.76840882,,,
,INCRETIR,570560780553.36,22.89369857,,,
eitc_amt,EITCRED,43432636947.29,20.98804136,65290472000,0.665221671966011,
,FEDTAX,1429483996542.93,116.37956552,,,
