state,age_band,income_tier,n_units,n_adults,year
AK,18_25,neg_zero,16176,16176,2021
AK,18_25,1_10k,18252,18252,2021
AK,18_25,10_25k,3137,3211,2021
AK,26_34,neg_zero,3000,3000,2021
AK,26_34,1_10k,7868,8101,2021
AK,26_34,10_25k,4342,4887,2021
AK,35_44,neg_zero,2149,2149,2021
AK,35_44,1_10k,6681,6681,2021
AK,35_44,10_25k,2355,3393,2021
AK,45_54,neg_zero,978,1096,2021
AK,45_54,1_10k,5440,5881,2021
AK,45_54,10_25k,2154,2784,2021
AK,55_64,neg_zero,2334,2474,2021
AK,55_64,1_10k,5777,6132,2021
AK,55_64,10_25k,2755,4075,2021
AK,65_74,neg_zero,363,363,2021
AK,65_74,1_10k,3846,4106,2021
AK,65_74,10_25k,2634,3793,2021
AK,75p,neg_zero,579,645,2021
AK,75p,1_10k,2963,3025,2021
AK,75p,10_25k,755,1269,2021
AL,18_25,neg_zero,160734,161161,2021
AL,18_25,1_10k,133843,134179,2021
AL,18_25,10_25k,37646,39906,2021
AL,18_25,25_50k,69,138,2021
AL,26_34,neg_zero,41783,42334,2021
AL,26_34,1_10k,56926,59190,2021
AL,26_34,10_25k,37279,41581,2021
AL,26_34,25_50k,451,902,2021
AL,35_44,neg_zero,36495,37458,2021
AL,35_44,1_10k,50753,52901,2021
AL,35_44,10_25k,30261,36770,2021
AL,35_44,25_50k,788,1576,2021
AL,45_54,neg_zero,29330,29704,2021
AL,45_54,1_10k,37881,39844,2021
AL,45_54,10_25k,26414,34417,2021
AL,45_54,25_50k,980,1960,2021
AL,55_64,neg_zero,27017,29273,2021
AL,55_64,1_10k,52188,56423,2021
AL,55_64,10_25k,38297,51829,2021
AL,55_64,25_50k,483,966,2021
AL,65_74,neg_zero,9781,10615,2021
AL,65_74,1_10k,33254,35219,2021
AL,65_74,10_25k,31923,45591,2021
AL,65_74,25_50k,19,38,2021
AL,75p,neg_zero,8557,9237,2021
AL,75p,1_10k,31505,33378,2021
AL,75p,10_25k,25998,35145,2021
AL,75p,25_50k,190,380,2021
AR,18_25,neg_zero,95016,95038,2021
AR,18_25,1_10k,69789,70289,2021
AR,18_25,10_25k,26577,28659,2021
AR,18_25,25_50k,321,642,2021
AR,26_34,neg_zero,25299,25696,2021
AR,26_34,1_10k,29704,30984,2021
AR,26_34,10_25k,16648,20332,2021
AR,26_34,25_50k,247,494,2021
AR,35_44,neg_zero,22578,23081,2021
AR,35_44,1_10k,21591,23592,2021
AR,35_44,10_25k,17533,24305,2021
AR,35_44,25_50k,563,1126,2021
AR,45_54,neg_zero,16932,17174,2021
AR,45_54,1_10k,20092,21206,2021
AR,45_54,10_25k,14245,20083,2021
AR,45_54,25_50k,479,958,2021
AR,55_64,neg_zero,16533,17210,2021
AR,55_64,1_10k,30419,33204,2021
AR,55_64,10_25k,21633,29663,2021
AR,55_64,25_50k,172,344,2021
AR,65_74,neg_zero,4944,5261,2021
