state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,mfs_qss_returns,filing_adults_ht2,residual_nonfiling_adults_ht2basis,ht2_filing_share,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
AK,555590,252890,218260,170290,10190,471150,84440,0.00221604842372708,469808.262457177,85781.7375428234,0.154397554928677,1710,84071.7375428234,84796,98121,0.864198285789994
AL,3921049,1549450,1362470,1222750,50770,2911920,1009129,0.0136961811016011,2903627.4554055,1017421.5445945,0.259476875855033,38202,979219.5445945,814417,880590,0.924853791208167
AR,2321644,1000060,791340,754280,31240,1791400,530244,0.00842582860291775,1786298.46411076,535345.535889237,0.230588986032844,25132,510213.535889237,497038,524655,0.947361599527308
AZ,5676245,2346900,2172340,1765100,55520,4519240,1157005,0.0212561916129564,4506370.14120125,1169874.85879875,0.206100134648654,38822,1131052.85879875,1165202,1353250,0.861039719194532
CA,30406543,12673950,12323740,9876070,332110,24997690,5408853,0.117576337729637,24926501.7602529,5480041.23974714,0.180225724435268,181667,5298374.23974714,5038005,5974887,0.843196699786958
CO,4569598,2140860,1849330,1256650,66740,3990190,579408,0.0187678112275742,3978826.76594291,590771.234057092,0.129282977202172,32321,558450.234057092,758911,883147,0.859325797404056
CT,2874056,1251300,1172980,768870,44920,2424280,449776,0.0114025721589156,2417376.15305037,456679.846949626,0.158897337751813,47307,409372.846949626,567750,648650,0.875279426501195
DC,543926,124650,278390,127220,10850,403040,140886,0.00189569384845371,401892.22561974,142033.77438026,0.261127017977188,22126,119907.77438026,63838,85489,0.746739346582601
DE,795142,348960,317120,225140,13700,666080,129062,0.00313289936129924,664183.14222111,130958.85777889,0.164698705110395,10103,120855.85777889,183140,200347,0.914114012188852
FL,17551233,7105660,7141880,4854780,286600,14247540,3303693,0.067013135007935,14206965.9592256,3344267.04077445,0.190543139662863,91625,3252642.04077445,3928082,4623364,0.849615561309903
GA,8254803,3253950,3240470,2813280,135490,6494420,1760383,0.0305464272610032,6475925.23796484,1778877.76203516,0.215496089008442,81035,1697842.76203516,1423298,1580376,0.900607197274573
HI,1145820,501360,433450,314240,18920,934810,211010,0.00439686772149913,932147.85488187,213672.14511813,0.18647967841208,6303,207369.14511813,242176,288608,0.83911741878257
IA,2461322,1209300,872310,736760,25980,2081610,379712,0.00979082788775239,2075682.00618377,385639.99381623,0.156680025537589,41203,344436.99381623,533699,568320,0.939081855292793
ID,1439063,766750,477450,487430,11070,1244200,194863,0.00585207990831208,1240656.77629039,198406.223709606,0.137871812220595,6954,191452.223709606,297667,316146,0.94154915766766
IL,9888533,4203370,3973090,2970270,128910,8176460,1712073,0.0384578824040487,8153175.13668811,1735357.86331189,0.17549194236515,83349,1652008.86331188,1799403,2099866,0.856913250655042
IN,5219323,2420720,2013610,1632070,75720,4434330,784993,0.02085681843741,4421701.94728161,797621.052718388,0.152820787814509,71451,726170.052718388,1048415,1115951,0.939481213780892
KS,2233276,1094180,805360,707290,32060,1899540,333736,0.00893446380729395,1894130.50380538,339145.49619462,0.151860090823803,25788,313357.49619462,450035,486939,0.92421227299518
KY,3485137,1530720,1208510,1050780,49140,2739230,745907,0.0128839357396284,2731429.24073134,753707.759268658,0.216263452274231,40029,713678.759268658,704505,768065,0.917246587202906
LA,3535613,1260510,1366340,1199960,35450,2626850,908763,0.0123553577456595,2619369.27567788,916243.724322118,0.259147062849389,24703,891540.724322118,661718,754465,0.877069181472964
MA,5634469,2393560,2313510,1354840,82840,4707070,927399,0.022139647784937,4693665.24029354,940803.759706459,0.166972923217158,134026,806777.759706459,1018621,1216518,0.837325053965498
MD,4803796,1994180,1999390,1482090,107520,3993570,810226,0.018783709017391,3982197.14040349,821598.859596505,0.171031171930803,47048,774550.859596505,826461,1000587,0.825976151998777
ME,1126491,539140,439610,253870,16240,978750,147741,0.00460353898911787,975962.722869493,150528.277130507,0.133625814259064,14384,136144.277130507,274960,300679,0.914463597391238
MI,7884946,3532820,3063790,2174030,96860,6596610,1288336,0.031027076711116,6577824.22202618,1307121.77797382,0.165774347468431,57148,1249973.77797382,1699029,1822027,0.932493865348867
MN,4399170,2167480,1740460,1295860,48400,3907940,491230,0.0183809493304044,3896810.99689462,502359.003105384,0.114194041854573,41877,460482.003105384,873925,959721,0.910603185717516
MO,4783723,2172140,1766670,1423930,69680,3938810,844913,0.018526146008406,3927593.08553317,856129.914466833,0.178967284365511,52302,803827.914466833,990870,1077759,0.919379935588568
MS,2254616,799550,856600,792220,29130,1656150,598466,0.00778968183583914,1651433.62807695,603182.371923055,0.267532197022932,23419,579763.371923055,471123,493891,0.953900759479318
MT,871194,429530,326550,228060,11510,756080,115114,0.00355621329133307,753926.840875776,117267.159124224,0.134605104172232,8312,108955.159124224,199177,217534,0.915613191501099
NC,8245960,3600240,3036730,2528930,124420,6636970,1608990,0.0312169094912957,6618069.28511176,1627890.71488824,0.19741676104277,97255,1530635.71488824,1673623,1779325,0.940594326500218
ND,592947,287260,220490,177720,7140,507750,85197,0.00238819608860751,506304.033243407,86642.9667565926,0.146122615944752,9030,77612.9667565926,113750,125515,0.906266183324702
NE,1479468,743410,556920,489560,17510,1300330,179138,0.00611608669600985,1296626.92968469,182841.070315313,0.123585687771086,20474,162367.070315313,289864,321591,0.901343632129009
NH,1130215,568360,435990,256760,18200,1004350,125865,0.00472394828477194,1001489.81937571,128725.180624291,0.113894418871003,20858,107867.180624291,249744,269332,0.927271917187709
NJ,7239518,3206590,2914860,2192530,116230,6121450,1118068,0.0287921673000619,6104017.37921784,1135500.62078216,0.156847544378254,49877,1085623.62078216,1337407,1556869,0.859036309413316
NM,1649373,621980,664230,500480,14720,1286210,363163,0.00604967344387565,1282547.14051798,366825.859482023,0.222403215938434,7092,359733.859482023,347806,398491,0.872807666923469
NV,2453035,972270,1059150,772790,31170,2031420,421615,0.00955475981943686,2025634.93690068,427400.063099315,0.174233169563139,3766,423634.063099315,454905,524208,0.867794844794433
NY,15736826,5924890,6715160,4406530,271450,12640050,3096776,0.0594523249036008,12604053.7575546,3132772.24244543,0.199072687366908,204277,2928495.24244543,2889601,3459021,0.835381167099014
OH,9154797,4051040,3556140,2658800,381660,7607180,1547617,0.0357802806919414,7585516.32813113,1569280.67186887,0.171416217297758,106749,1462531.67186887,1843363,2100218,0.877700791060738
OK,3028822,1344190,1029770,1009990,42450,2373960,654862,0.0111658926371456,2367199.45398034,661622.546019657,0.21844220162811,26810,634812.546019657,602133,640903,0.939507226522578
OR,3393075,1520040,1267580,870570,41720,2787620,605455,0.0131115375293433,2779681.43604133,613393.563958666,0.180778074153582,23901,589492.563958666,737863,793563,0.929810235608263
PA,10336605,4582850,4044390,2722840,153350,8627240,1709365,0.0405781207749448,8602671.40868312,1733933.59131688,0.16774691412866,148389,1585544.59131688,2244859,2471081,0.908452211805279
RI,888635,347120,379160,208640,16680,726280,162355,0.00341604934561075,724211.705099009,164423.294900991,0.185029055687645,24746,139677.294900991,177566,199611,0.889560194578455
SC,4071345,1760760,1528010,1240880,78580,3288770,782575,0.015468690596415,3279404.26471673,791940.735283268,0.194515752235015,33329,758611.735283268,919531,960089,0.957755999704194
SD,676706,355690,260010,214180,8890,615700,61006,0.00289593763024253,613946.614018643,62759.3859813572,0.0927424701145803,8199,54560.3859813572,153976,157760,0.976014198782961
TN,5409349,2417570,1996000,1674890,82350,4413570,995779,0.0207591740242155,4401001.0674586,1008347.9325414,0.186408370497337,46670,961677.932541398,1106631,1171335,0.944760465622559
TX,22111352,9579120,8575500,8226190,249560,18154620,3956732,0.0853900393385635,18102919.4052219,4008432.59477809,0.181283921253575,130087,3878345.59477809,3454359,3894498,0.886984407232973
UT,2391127,1290850,828200,951350,26890,2119050,272077,0.00996692648264646,2113015.38482411,278111.615175889,0.116309846852923,13529,264582.615175889,346707,387381,0.895002594345102
VA,6763355,3099530,2511350,2021630,119630,5610880,1152475,0.02639070737498,5594901.37674992,1168453.62325008,0.172762426820725,77622,1090831.62325009,1250193,1409924,0.886709496398387
VT,529760,247250,209110,114410,7090,456360,73400,0.00214648383455819,455060.381311593,74699.6186884069,0.141006528783613,17226,57473.6186884069,123561,134496,0.918696466809422
WA,6061645,2899700,2277930,1751280,64540,5177630,884015,0.0243529211506783,5162885.18294843,898759.817051575,0.148269952636879,34265,864494.817051575,1143754,1262143,0.906200010616864
WI,4605891,2247770,1795740,1251720,35950,4043510,562381,0.0190186012136787,4031994.92163476,573896.078365239,0.124600447202341,52534,521362.078365239,1012111,1060732,0.954162785698932
WV,1427117,628270,464450,381050,19150,1092720,334397,0.00513959552918404,1089608.15993252,337508.840067482,0.236496965607923,13669,323839.840067482,341828,369716,0.924569128736652
WY,447132,233010,162580,135360,5970,395590,51542,0.00186065286202313,394463.441675548,52668.558324452,0.117791968198322,3878,48790.558324452,95746,104510,0.916141995981246
