state,persons,year
AK,1144,2018
AL,37992,2018
AR,25637,2018
AZ,38141,2018
CA,189431,2018
CO,35045,2018
CT,47083,2018
DC,20187,2018
DE,8759,2018
FL,92226,2018
GA,83660,2018
HI,7785,2018
IA,40742,2018
ID,7981,2018
IL,82646,2018
IN,68949,2018
KS,25741,2018
KY,39780,2018
LA,22215,2018
MA,133037,2018
MD,48506,2018
ME,14607,2018
MI,62929,2018
MN,41419,2018
MO,52022,2018
MS,30079,2018
MT,7907,2018
NC,99343,2018
ND,8807,2018
NE,20871,2018
NH,21526,2018
NJ,52878,2018
NM,7563,2018
NV,3265,2018
NY,202716,2018
OH,108638,2018
OK,30633,2018
OR,20760,2018
PA,159157,2018
RI,22575,2018
SC,44988,2018
SD,10051,2018
TN,52311,2018
TX,131612,2018
UT,13481,2018
VA,83837,2018
VT,15994,2018
WA,31674,2018
WI,53240,2018
WV,16125,2018
WY,3866,2018
