soi_variable,variable,asec_amount,asec_positive_M,soi_amount,asec_over_soi,asec_over_ssa_wages
agi_amt,ADJGINC,12811870201287.1,160.86958169,14687643884000,0.872289000364706,
,TAXINC,9936544180157.7,127.78325572,,,
,INCTOT,13578935979233.7,237.26930846,,,
wages_amt,INCWAGE,9903197342541.03,158.79714984,8948443198000,1.10669499972402,1.00645733967759
int_amt,INCINT,576493616602.56,148.3576394,102466316000,5.62617686579617,
div_amt,INCDIVID,213544211352.91,38.91790638,380249504000,0.561589717031978,
,INCRENT,222638827220.16,11.67158728,,,
,INCBUS,503946637480.57,12.04542448,,,
,INCFARM,36591042135.71,1.89584511,,,
,INCSS,951605926177.39,55.3229456,,,
,INCRETIR,216920567202.4,10.68027438,,,
eitc_amt,EITCRED,46441701341.68,27.3218142,65181307000,0.712500308434748,
,FEDTAX,1727736868009.5,127.42561837,,,
