state,persons,year
AK,1684,2022
AL,56365,2022
AR,25415,2022
AZ,37921,2022
CA,189096,2022
CO,31519,2022
CT,59885,2022
DC,20421,2022
DE,10522,2022
FL,126227,2022
GA,71516,2022
HI,4516,2022
IA,41754,2022
ID,16465,2022
IL,76933,2022
IN,68473,2022
KS,29916,2022
KY,32466,2022
LA,30316,2022
MA,125946,2022
MD,41898,2022
ME,14683,2022
MI,53422,2022
MN,39728,2022
MO,53679,2022
MS,28912,2022
MT,6423,2022
NC,102884,2022
ND,11622,2022
NE,16141,2022
NH,13863,2022
NJ,48701,2022
NM,7174,2022
NV,3485,2022
NY,215654,2022
OH,92711,2022
OK,32112,2022
OR,22357,2022
PA,182674,2022
RI,23278,2022
SC,42991,2022
SD,7779,2022
TN,47131,2022
TX,132604,2022
UT,18981,2022
VA,86851,2022
VT,14654,2022
WA,29488,2022
WI,51944,2022
WV,16192,2022
WY,4788,2022
