state,n_units,year,variant
AK,334553,2019,v0
AL,2002219,2019,v0
AR,1212841,2019,v0
AZ,3157574,2019,v0
CA,16946874,2019,v0
CO,2647308,2019,v0
CT,1629648,2019,v0
DC,365754,2019,v0
DE,443266,2019,v0
FL,9606372,2019,v0
GA,4434446,2019,v0
HI,659837,2019,v0
IA,1373551,2019,v0
ID,739461,2019,v0
IL,5600590,2019,v0
IN,2906065,2019,v0
KS,1248817,2019,v0
KY,1829710,2019,v0
LA,1834695,2019,v0
MA,3237898,2019,v0
MD,2750247,2019,v0
ME,640695,2019,v0
MI,4410126,2019,v0
MN,2581135,2019,v0
MO,2634527,2019,v0
MS,1134712,2019,v0
MT,468702,2019,v0
NC,4498867,2019,v0
ND,340645,2019,v0
NE,831314,2019,v0
NH,654385,2019,v0
NJ,3952853,2019,v0
NM,861434,2019,v0
NV,1392876,2019,v0
NY,8786438,2019,v0
OH,5178247,2019,v0
OK,1618523,2019,v0
OR,1940751,2019,v0
PA,5784066,2019,v0
RI,498879,2019,v0
SC,2199340,2019,v0
SD,382328,2019,v0
TN,2904873,2019,v0
TX,11674389,2019,v0
UT,1249450,2019,v0
VA,3808088,2019,v0
VT,292371,2019,v0
WA,3524985,2019,v0
WI,2673006,2019,v0
WV,741879,2019,v0
WY,247884,2019,v0
AK,314568,2019,gq_excluded
AL,1981849,2019,gq_excluded
AR,1198965,2019,gq_excluded
AZ,3128127,2019,gq_excluded
CA,16742694,2019,gq_excluded
CO,2613055,2019,gq_excluded
CT,1600683,2019,gq_excluded
DC,358739,2019,gq_excluded
DE,438295,2019,gq_excluded
FL,9524451,2019,gq_excluded
GA,4387244,2019,gq_excluded
HI,639970,2019,gq_excluded
IA,1353396,2019,gq_excluded
ID,731746,2019,gq_excluded
IL,5543282,2019,gq_excluded
IN,2866987,2019,gq_excluded
KS,1225123,2019,gq_excluded
KY,1802423,2019,gq_excluded
LA,1813657,2019,gq_excluded
MA,3196234,2019,gq_excluded
MD,2719860,2019,gq_excluded
ME,629931,2019,gq_excluded
MI,4345397,2019,gq_excluded
MN,2538870,2019,gq_excluded
MO,2604489,2019,gq_excluded
MS,1115144,2019,gq_excluded
MT,461887,2019,gq_excluded
NC,4423115,2019,gq_excluded
ND,332644,2019,gq_excluded
NE,816195,2019,gq_excluded
NH,644968,2019,gq_excluded
NJ,3910018,2019,gq_excluded
NM,852361,2019,gq_excluded
NV,1382932,2019,gq_excluded
NY,8671150,2019,gq_excluded
OH,5110630,2019,gq_excluded
OK,1591279,2019,gq_excluded
OR,1921958,2019,gq_excluded
PA,5680145,2019,gq_excluded
RI,489592,2019,gq_excluded
SC,2166150,2019,gq_excluded
SD,373116,2019,gq_excluded
TN,2874722,2019,gq_excluded
TX,11549494,2019,gq_excluded
UT,1236043,2019,gq_excluded
VA,3737177,2019,gq_excluded
VT,289224,2019,gq_excluded
WA,3466910,2019,gq_excluded
WI,2642878,2019,gq_excluded
WV,736808,2019,gq_excluded
WY,241329,2019,gq_excluded
AK,334553,2019,gq_differentiated
AL,2002219,2019,gq_differentiated
AR,1212841,2019,gq_differentiated
AZ,3157574,2019,gq_differentiated
CA,16946874,2019,gq_differentiated
CO,2647308,2019,gq_differentiated
CT,1629648,2019,gq_differentiated
DC,365754,2019,gq_differentiated
DE,443266,2019,gq_differentiated
FL,9606372,2019,gq_differentiated
GA,4434446,2019,gq_differentiated
HI,659837,2019,gq_differentiated
IA,1373551,2019,gq_differentiated
ID,739461,2019,gq_differentiated
IL,5600590,2019,gq_differentiated
IN,2906065,2019,gq_differentiated
KS,1248817,2019,gq_differentiated
KY,1829710,2019,gq_differentiated
LA,1834695,2019,gq_differentiated
MA,3237898,2019,gq_differentiated
MD,2750247,2019,gq_differentiated
ME,640695,2019,gq_differentiated
MI,4410126,2019,gq_differentiated
MN,2581135,2019,gq_differentiated
MO,2634527,2019,gq_differentiated
MS,1134712,2019,gq_differentiated
MT,468702,2019,gq_differentiated
NC,4498867,2019,gq_differentiated
ND,340645,2019,gq_differentiated
NE,831314,2019,gq_differentiated
NH,654385,2019,gq_differentiated
NJ,3952853,2019,gq_differentiated
NM,861434,2019,gq_differentiated
NV,1392876,2019,gq_differentiated
NY,8786438,2019,gq_differentiated
OH,5178247,2019,gq_differentiated
OK,1618523,2019,gq_differentiated
OR,1940751,2019,gq_differentiated
PA,5784066,2019,gq_differentiated
RI,498879,2019,gq_differentiated
SC,2199340,2019,gq_differentiated
SD,382328,2019,gq_differentiated
TN,2904873,2019,gq_differentiated
TX,11674389,2019,gq_differentiated
UT,1249450,2019,gq_differentiated
VA,3808088,2019,gq_differentiated
VT,292371,2019,gq_differentiated
WA,3524985,2019,gq_differentiated
WI,2673006,2019,gq_differentiated
WV,741879,2019,gq_differentiated
WY,247884,2019,gq_differentiated
