state,age_band,income_tier,n_units,n_adults,year
AK,18_25,neg_zero,11098,11098,2017
AK,18_25,1_10k,24010,24010,2017
AK,18_25,10_25k,2883,3038,2017
AK,26_34,neg_zero,1757,1757,2017
AK,26_34,1_10k,12070,12133,2017
AK,26_34,10_25k,1280,1837,2017
AK,35_44,neg_zero,2107,2107,2017
AK,35_44,1_10k,5027,6609,2017
AK,35_44,10_25k,1455,2190,2017
AK,45_54,neg_zero,1136,1136,2017
AK,45_54,1_10k,6681,7088,2017
AK,45_54,10_25k,728,1314,2017
AK,55_64,neg_zero,1236,1412,2017
AK,55_64,1_10k,6303,7006,2017
AK,55_64,10_25k,636,924,2017
AK,65_74,neg_zero,676,764,2017
AK,65_74,1_10k,1461,1591,2017
AK,65_74,10_25k,973,1857,2017
AK,75p,neg_zero,234,234,2017
AK,75p,1_10k,3195,3195,2017
AK,75p,10_25k,222,444,2017
AL,18_25,neg_zero,147128,147343,2017
AL,18_25,1_10k,137286,137944,2017
AL,18_25,10_25k,13829,16462,2017
AL,26_34,neg_zero,40003,40245,2017
AL,26_34,1_10k,66988,69149,2017
AL,26_34,10_25k,16358,21650,2017
AL,35_44,neg_zero,27555,27796,2017
AL,35_44,1_10k,41489,43949,2017
AL,35_44,10_25k,17420,23983,2017
AL,45_54,neg_zero,30838,31851,2017
AL,45_54,1_10k,41969,44140,2017
AL,45_54,10_25k,12763,20770,2017
AL,55_64,neg_zero,20399,20784,2017
AL,55_64,1_10k,50759,53743,2017
AL,55_64,10_25k,15495,26803,2017
AL,65_74,neg_zero,5932,7357,2017
AL,65_74,1_10k,30936,32293,2017
AL,65_74,10_25k,11659,21060,2017
AL,75p,neg_zero,4881,5070,2017
AL,75p,1_10k,24897,25503,2017
AL,75p,10_25k,8546,14409,2017
AR,18_25,neg_zero,69038,69358,2017
AR,18_25,1_10k,71395,71601,2017
AR,18_25,10_25k,10352,11851,2017
AR,26_34,neg_zero,16054,16437,2017
AR,26_34,1_10k,33793,35271,2017
AR,26_34,10_25k,10662,14733,2017
AR,35_44,neg_zero,14185,14438,2017
AR,35_44,1_10k,26461,27030,2017
AR,35_44,10_25k,10603,14817,2017
AR,45_54,neg_zero,12362,12677,2017
AR,45_54,1_10k,29923,31583,2017
AR,45_54,10_25k,6455,8877,2017
AR,55_64,neg_zero,8893,9288,2017
AR,55_64,1_10k,31987,35121,2017
AR,55_64,10_25k,8698,14662,2017
AR,65_74,neg_zero,870,954,2017
AR,65_74,1_10k,19349,21008,2017
AR,65_74,10_25k,8695,14498,2017
AR,75p,neg_zero,3207,3497,2017
AR,75p,1_10k,14885,15384,2017
AR,75p,10_25k,6555,11415,2017
AZ,18_25,neg_zero,185382,185382,2017
AZ,18_25,1_10k,170677,171817,2017
AZ,18_25,10_25k,28128,29829,2017
AZ,26_34,neg_zero,60232,60588,2017
AZ,26_34,1_10k,63848,65882,2017
AZ,26_34,10_25k,19158,26457,2017
AZ,35_44,neg_zero,35754,36450,2017
AZ,35_44,1_10k,46296,49337,2017
AZ,35_44,10_25k,23849,37479,2017
