band,pep_adults,filing_adults,residual_nonfiling_adults
18_25,34785957,24305224.5407495,10480732.4592505
26_34,41395419,35334770.6328393,6060648.36716071
35_44,43996202,38139106.3683225,5857095.63167755
45_54,40587060,34589862.9108878,5997197.08911219
55_64,42344458,34846775.9760204,7497682.02397958
65p,57505037,45595589.5711805,11909447.4288195
total_18p,260614133,212811330,47802803
