variable,both_spouses_M,exactly_one_spouse_M,persons_in_joint_units_M
ADJGINC,0.00835628,117.9606544,118.1162681
FEDTAX,0.00377565,98.32855483,118.1162681
EITCRED,0,13.99881199,118.1162681
