state,age_band,income_tier,n_units,n_adults,year
AK,18_25,neg_zero,12001,12001,2022
AK,18_25,1_10k,15865,16107,2022
AK,18_25,10_25k,5198,5727,2022
AK,26_34,neg_zero,3613,3613,2022
AK,26_34,1_10k,6798,7022,2022
AK,26_34,10_25k,3977,5477,2022
AK,35_44,neg_zero,3298,3298,2022
AK,35_44,1_10k,5882,6265,2022
AK,35_44,10_25k,2136,2940,2022
AK,45_54,neg_zero,1345,1345,2022
AK,45_54,1_10k,4866,5349,2022
AK,45_54,10_25k,1171,1544,2022
AK,45_54,25_50k,137,274,2022
AK,55_64,neg_zero,2479,2555,2022
AK,55_64,1_10k,4760,5082,2022
AK,55_64,10_25k,3372,5356,2022
AK,55_64,25_50k,21,42,2022
AK,65_74,neg_zero,501,644,2022
AK,65_74,1_10k,3342,3462,2022
AK,65_74,10_25k,1705,2722,2022
AK,65_74,25_50k,47,94,2022
AK,75p,neg_zero,318,318,2022
AK,75p,1_10k,1472,1673,2022
AK,75p,10_25k,2023,2262,2022
AK,75p,25_50k,541,1082,2022
AL,18_25,neg_zero,157051,157085,2022
AL,18_25,1_10k,141966,143094,2022
AL,18_25,10_25k,47914,51407,2022
AL,18_25,25_50k,718,1436,2022
AL,26_34,neg_zero,40623,41256,2022
AL,26_34,1_10k,48844,51378,2022
AL,26_34,10_25k,38856,46657,2022
AL,26_34,25_50k,619,1238,2022
AL,35_44,neg_zero,31264,31942,2022
AL,35_44,1_10k,33999,36079,2022
AL,35_44,10_25k,34339,40468,2022
AL,35_44,25_50k,1868,3736,2022
AL,45_54,neg_zero,29501,31127,2022
AL,45_54,1_10k,32338,34725,2022
AL,45_54,10_25k,29461,36963,2022
AL,45_54,25_50k,452,904,2022
AL,55_64,neg_zero,25118,25968,2022
AL,55_64,1_10k,42771,45145,2022
AL,55_64,10_25k,39835,53148,2022
AL,55_64,25_50k,1131,2262,2022
AL,65_74,neg_zero,8029,9016,2022
AL,65_74,1_10k,32074,36137,2022
AL,65_74,10_25k,36615,48986,2022
AL,65_74,25_50k,1121,2242,2022
AL,75p,neg_zero,7425,8060,2022
AL,75p,1_10k,31154,33553,2022
AL,75p,10_25k,27834,35351,2022
AL,75p,25_50k,1163,2326,2022
AR,18_25,neg_zero,100936,101612,2022
AR,18_25,1_10k,62658,63143,2022
AR,18_25,10_25k,21276,22169,2022
AR,18_25,25_50k,19,38,2022
AR,26_34,neg_zero,27354,27506,2022
AR,26_34,1_10k,18506,18972,2022
AR,26_34,10_25k,21069,25458,2022
AR,26_34,25_50k,558,1116,2022
AR,35_44,neg_zero,22386,23161,2022
AR,35_44,1_10k,24919,26235,2022
AR,35_44,10_25k,21556,27959,2022
AR,35_44,25_50k,1415,2830,2022
AR,45_54,neg_zero,20351,21404,2022
AR,45_54,1_10k,20997,22460,2022
AR,45_54,10_25k,14652,20087,2022
AR,45_54,25_50k,685,1370,2022
AR,55_64,neg_zero,15240,16236,2022
AR,55_64,1_10k,26045,28285,2022
AR,55_64,10_25k,23625,31266,2022
AR,55_64,25_50k,660,1320,2022
AR,65_74,neg_zero,4523,5039,2022
AR,65_74,1_10k,20379,22794,2022
AR,65_74,10_25k,21856,30551,2022
AR,65_74,25_50k,766,1532,2022
AR,75p,neg_zero,3759,3947,2022
AR,75p,1_10k,21379,22357,2022
AR,75p,10_25k,15465,21296,2022
AR,75p,25_50k,804,1608,2022
AZ,18_25,neg_zero,191818,192946,2022
AZ,18_25,1_10k,151238,152295,2022
AZ,18_25,10_25k,54950,57036,2022
AZ,18_25,25_50k,114,228,2022
AZ,26_34,neg_zero,67562,68011,2022
AZ,26_34,1_10k,52444,54799,2022
AZ,26_34,10_25k,40150,49178,2022
AZ,26_34,25_50k,1168,2336,2022
AZ,35_44,neg_zero,52112,53100,2022
AZ,35_44,1_10k,37889,41033,2022
AZ,35_44,10_25k,29572,38840,2022
AZ,35_44,25_50k,1181,2362,2022
AZ,45_54,neg_zero,39990,41770,2022
AZ,45_54,1_10k,34018,37218,2022
