state,pep_adults_18p,filing_adults,residual_nonfiling_adults,acs_v0_nonfiler_units,acs_gqexcl_nonfiler_units,acs_v0_filer_units,ht2_returns,v0_filer_vs_ht2,v0_nonfiler_vs_resid,gqexcl_nonfiler_vs_resid
AK,557088,469750,87338,86868,75042,338428,348240,0.971824029405008,0.994618608165976,0.859213629806041
AL,3946485,2902560,1043925,924083,809789,2100943,2149560,0.977382813226893,0.885200565174701,0.775715688387576
AR,2340429,1782010,558419,533838,463324,1252298,1295880,0.966368799580208,0.955981082305581,0.829706725594939
AZ,5780637,4526520,1254117,1087038,968037,3305162,3373850,0.979641062880685,0.866775587923615,0.771887311949364
CA,30532802,24629780,5903022,6303309,5704356,17169695,18487680,0.928710092342576,1.06781052145833,0.966345034797431
CO,4621847,4015820,606027,669521,585939,2774904,2972380,0.933563003384493,1.10477090954693,0.966852961996743
CT,2888218,2432480,455738,512893,418814,1692045,1823250,0.928037844508433,1.12541196915772,0.918979764689361
DC,549983,406910,143073,111514,80437,359759,348690,1.03174452952479,0.779420295932845,0.562209501443319
DE,809095,673990,135105,128478,109316,483764,503130,0.961508953948284,0.950949261685356,0.809118833499871
FL,18004510,14690290,3314220,3513124,3150308,10187376,11130320,0.915281501340483,1.06001532789012,0.950542812486799
GA,8386668,6503190,1883478,1745803,1556478,4691675,4932060,0.95126073081025,0.926903844908196,0.82638501750485
HI,1143262,930280,212982,206807,186305,672275,689960,0.974368079308945,0.971006939553577,0.874745283638993
IA,2469199,2080280,388919,400246,322030,1415061,1485900,0.952325863113265,1.02912431637436,0.828013030991029
ID,1474824,1250310,224514,233145,196624,823441,869500,0.947028177113283,1.03844303695983,0.875776120865514
IL,9863135,8159900,1703235,1812630,1606416,5697473,6112880,0.93204397927,1.06422777831597,0.943155818193027
IN,5249480,4422930,826550,970959,831830,2969414,3246780,0.914571975926918,1.17471296352308,1.00638799830621
KS,2238021,1891880,346141,389945,326970,1275126,1361360,0.936655991067756,1.12654958528461,0.94461505571429
KY,3498104,2715400,782704,771645,679221,1888110,1975880,0.955579286191469,0.985870776181034,0.867787822727366
LA,3514450,2574760,939690,922833,816532,1864431,1970500,0.946171530068511,0.982061105258117,0.868937628366802
MA,5665262,4732130,933132,996236,810682,3321484,3567800,0.930961376758787,1.06762601646927,0.868775264378459
MD,4818233,4051760,766473,823081,721022,2835928,3095140,0.916251930445796,1.07385517819936,0.940701107540644
ME,1139657,972110,167547,168235,141542,672210,710850,0.945642540620384,1.00410631046811,0.844789820169863
MI,7913876,6590760,1323116,1470928,1332205,4541635,4871380,0.932309735639593,1.11171507260134,1.00686939013662
MN,4409934,3939780,470154,635351,539951,2619979,2871840,0.91229977993203,1.3513678496833,1.14845561241636
MO,4797555,3940570,856985,921234,783999,2717037,2880050,0.943399246540859,1.07497097382101,0.914833981925005
MS,2255038,1630950,624088,597945,521583,1164882,1245250,0.935460349327444,0.958110074220302,0.835752329799644
MT,885762,761040,124722,153170,132393,509529,550390,0.925759915696143,1.22809127499559,1.0615047866455
NC,8377021,6720300,1656721,1578954,1375872,4729156,4943400,0.956660597969009,0.953059688384465,0.830479000386909
ND,596388,508770,87618,97644,77394,348189,368090,0.945934418212937,1.11442854208039,0.883311648291447
NE,1488438,1304940,183498,224120,191730,874721,940690,0.929871689929733,1.221375709817,1.04486152437629
NH,1141902,1010760,131142,158179,130390,694011,731930,0.948193133223122,1.20616583550655,0.994265757728264
NJ,7268014,6203230,1064784,1218718,1094524,4214245,4638520,0.90853224735476,1.14456828802837,1.02793054741619
NM,1653759,1291910,361849,394991,364185,916872,987800,0.928195991091314,1.09159069114465,1.00645573153442
NV,2482917,2025740,457177,477752,453223,1452556,1553270,0.935160017253922,1.04500445123005,0.991351270951951
NY,15668987,12598730,3070257,3314609,2851488,8930263,9767170,0.91431427936649,1.07958682286206,0.928745704349831
OH,9181188,7528650,1652538,1713634,1497386,5271696,5692080,0.92614580258886,1.03697101065149,0.906112900278239
OK,3059009,2367260,691749,652151,563233,1663129,1713390,0.970665756190943,0.942756693540576,0.814215849968703
OR,3401409,2767240,634169,567926,501273,2014703,2030990,0.991980758152428,0.895543616922303,0.790440718483559
PA,10329335,8543230,1786105,1907774,1586606,5925895,6325480,0.936829299910837,1.06811973540189,0.888304998866248
RI,892093,735690,156403,164778,130369,527134,568350,0.927481305533562,1.05354756622315,0.833545392351809
SC,4152041,3340430,811611,831660,739744,2316285,2481140,0.93355675213813,1.02470272088476,0.911451421925035
SD,688563,615590,72973,110275,89877,403419,441530,0.913684234366861,1.51117536623135,1.2316473216121
TN,5493089,4429450,1063639,1068973,957135,3110204,3247920,0.957598709327816,1.00501485936488,0.899868282377762
TX,22576319,18416120,4160199,4572547,4096779,12416231,13641020,0.91021279933612,1.09911737395254,0.984755536934651
UT,2446549,2154060,292489,353600,314790,1379502,1514470,0.910881034289223,1.20893435308678,1.07624560239872
VA,6794181,5668380,1125801,1232394,1055802,3894516,4160340,0.936105222169342,1.09468191980643,0.937822936735711
VT,531700,457810,73890,83023,62311,317596,336880,0.942757064830207,1.12360265259169,0.843294085803221
WA,6126868,5187000,939868,916967,836407,3654676,3757400,0.97266088252515,0.9756338124077,0.889919648291037
WI,4640604,4053940,586664,692577,587046,2747632,2940990,0.934254111710682,1.18053434333792,1.00065113932336
WV,1419350,1078350,341000,339622,294486,747393,776020,0.963110486843123,0.995958944281525,0.863595307917889
WY,450855,394460,56395,70658,61916,257215,280740,0.916203604758852,1.25291249224222,1.09789874988917
