arrangement,persons_M,pct_of_population
total population,318.86849005,100
unmarried partners (RELATE 1113/1114/1116/1117),7.68639349,2.41052149392207
persons in households containing an unmarried partner,22.5198622,7.06242946628837
children under 18 in those households,5.47652866,1.71748819055193
persons in multi-family households (any FAMUNIT > 1),18.24389626,5.72144844325612
other relatives of the householder (RELATE 501/701/901/1001),21.49314189,6.74044082769978
non-relatives other than partners (RELATE 1241/1260),3.79862793,1.19128356941269
group-quarters residents,0.28893603,0.090612913792358
UNION: persons in any household above (excl. GQ),83.27380936,26.1154086899406
