state,irs_married_adults,irs_single_adults,irs_children,acs_married_adults,acs_single_adults,acs_children,nonfiler_married_adults,irs_share_married_adults,nonfiler_single_adults,irs_share_single_adults,nonfiler_children,irs_share_children
AK,252890,218260,170290,288030,264725,179918,35140,0.877998819567406,46465,0.82447823212768,9628,0.946486732844963
AL,1549450,1362470,1222750,1941577,1979620,1118680,392127,0.7980368535474,617150,0.688248249664077,-104070,1.09302928451389
AR,1000060,791340,754280,1194154,1128312,703425,194094,0.837463174766404,336972,0.70134856316338,-50855,1.07229626470484
AZ,2346900,2172340,1765100,2890821,2771806,1613689,543921,0.811845493027759,599466,0.783727288273422,-151411,1.093829108335
CA,12673950,12323740,9876070,14857804,15621288,8758744,2183854,0.853016367694715,3297548,0.788906779005675,-1117326,1.12756692055391
CO,2140860,1849330,1256650,2399600,2171118,1241351,258740,0.892173695615936,321788,0.851786959529606,-15299,1.01232447551096
CT,1251300,1172980,768870,1420364,1459232,726001,169064,0.880971356638158,286252,0.803833797504441,-42869,1.05904812803288
DC,124650,278390,127220,168669,375698,125683,44019,0.739021396937197,97308,0.740994096322046,-1537,1.01222917976178
DE,348960,317120,225140,399165,395112,209107,50205,0.874224944571794,77992,0.802607868148778,-16033,1.07667366467885
FL,7105660,7141880,4854780,8656453,8840210,4284465,1550793,0.82085121931581,1698330,0.80788578551867,-570315,1.1331123022361
GA,3253950,3240470,2813280,4060922,4216238,2522406,806972,0.801283550878347,975768,0.768569041880463,-290874,1.11531609106544
HI,501360,433450,314240,594468,542580,304505,93108,0.843375926038071,109130,0.798868369641343,-9735,1.03196991839214
IA,1209300,872310,736760,1325308,1134113,733658,116008,0.912467139713938,261803,0.769156159924099,-3102,1.00422812809238
ID,766750,477450,487430,836319,596346,468258,69569,0.91681523437827,118896,0.800625811190148,-19172,1.0409432406921
IL,4203370,3973090,2970270,4911819,4963743,2795907,708449,0.855766468593407,990653,0.800422181406249,-174363,1.06236366231066
IN,2420720,2013610,1632070,2696998,2522329,1586658,276278,0.897560917731493,508719,0.798313780636864,-45412,1.02862116473745
KS,1094180,805360,707290,1210912,1022587,701083,116732,0.903599931291456,217227,0.787571130867105,-6207,1.00885344531247
KY,1530720,1208510,1050780,1805425,1690870,1013099,274705,0.847844690308376,482360,0.714726738306316,-37681,1.03719379843431
LA,1260510,1366340,1199960,1617440,1928200,1078407,356930,0.779324117123356,561860,0.708609065449642,-121553,1.11271532918462
MA,2393560,2313510,1354840,2738283,2884626,1361814,344723,0.874109798001156,571116,0.802013848589037,6974,0.994878889481236
MD,1994180,1999390,1482090,2398206,2406713,1360210,404026,0.83152990193503,407323,0.830755474375216,-121880,1.08960381117622
ME,539140,439610,253870,600081,524435,247731,60941,0.898445376540834,84825,0.838254502464557,-6139,1.02478091155326
MI,3532820,3063790,2174030,3963612,3940991,2146208,430792,0.891313276879775,877201,0.777416137210159,-27822,1.01296332881063
MN,2167480,1740460,1295860,2361782,2040203,1305405,194302,0.91773076431271,299743,0.853081776666342,9545,0.992688092967317
MO,2172140,1766670,1423930,2473118,2313484,1381585,300978,0.87830018624263,546814,0.763640466067628,-42345,1.03064958001136
MS,799550,856600,792220,1062668,1195865,691432,263118,0.752398679549963,339265,0.716301589226209,-100788,1.14576704578324
MT,429530,326550,228060,462644,406989,234638,33114,0.928424447307217,80439,0.802355837627061,6578,0.971965325309626
NC,3600240,3036730,2528930,4196073,4056795,2298294,595833,0.858002232087001,1020065,0.748553969328004,-230636,1.10035095596995
ND,287260,220490,177720,320263,273645,181040,33003,0.896950318956607,53155,0.805751977927607,3320,0.981661511268228
NE,743410,556920,489560,815515,667077,481100,72105,0.911583477924992,110157,0.834866139890897,-8460,1.01758470172521
NH,568360,435990,256760,606513,525996,256483,38153,0.937094505806141,90006,0.828884630301371,-277,1.00107999360581
NJ,3206590,2914860,2192530,3799449,3447448,2020233,592859,0.843961848152193,532588,0.845512390614739,-172297,1.08528570714368
NM,621980,664230,500480,775123,868583,472171,153143,0.802427485702269,204353,0.764728298849966,-28309,1.05995497393953
NV,972270,1059150,772790,1161748,1285120,697123,189478,0.836902667359875,225970,0.824164280378486,-75667,1.10854182117073
NY,5924890,6715160,4406530,7284794,8451932,4099187,1359904,0.813322929927737,1736772,0.794511834690577,-307343,1.07497657462321
OH,4051040,3556140,2658800,4564829,4614562,2600626,513789,0.887446167205825,1058422,0.770634352729468,-58174,1.02236922956242
