state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,mfs_qss_returns,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
KY,3498104,1526640,1188760,1041050,47600,2715400,782704,0.223750923357339,32466,750238,720044,784882,0.91739140405819
LA,3514450,1243760,1331000,1190590,35240,2574760,939690,0.267378963991521,30316,909374,679089,771669,0.880026280698071
MA,5665262,2412770,2319360,1350080,84110,4732130,933132,0.164711181936511,125946,807186,1042562,1255142,0.830632709287077
MD,4818233,2024190,2027570,1496550,110950,4051760,766473,0.159077612062347,41898,724575,845560,1031600,0.819658782473827
ME,1139657,538630,433480,247560,16110,972110,167547,0.14701528617821,14683,152864,282480,310970,0.908383445348426
MI,7913876,3533770,3056990,2161220,95010,6590760,1323116,0.167189377240685,53422,1269694,1737610,1870893,0.928759688555145
MN,4409934,2184440,1755340,1291830,48560,3939780,470154,0.106612479914665,39728,430426,896839,990361,0.905567767712985
MO,4797555,2190460,1750110,1425810,69420,3940570,856985,0.178629531084063,53679,803306,1013179,1105376,0.916592182207683
MS,2255038,800380,830570,791110,28980,1630950,624088,0.27675276425497,28912,595176,481805,504467,0.955077339052901
MT,885762,432710,328330,225530,11410,761040,124722,0.140807575849946,6423,118299,205256,224592,0.913906105293154
NC,8377021,3680730,3039570,2564210,126930,6720300,1656721,0.197769708348588,102884,1553837,1722302,1841900,0.935068136163744
ND,596388,288270,220500,177310,6910,508770,87618,0.146914424837522,11622,75996,116818,129647,0.901046688315194
NE,1488438,745690,559250,487630,17190,1304940,183498,0.12328225965744,16141,167357,295842,330461,0.895240285540502
NH,1141902,576340,434420,255300,18680,1010760,131142,0.114845231902563,13863,117279,257757,280543,0.918778939413922
NJ,7268014,3247950,2955280,2227930,118530,6203230,1064784,0.146502744766314,48701,1016083,1364085,1599827,0.85264531727493
NM,1653759,623580,668330,491450,15360,1291910,361849,0.21880394906392,7174,354675,356772,408613,0.873129342434039
NV,2482917,976940,1048800,766930,32000,2025740,457177,0.184128990215944,3485,453692,466545,539392,0.864946087446607
NY,15668987,5932410,6666320,4410800,269290,12598730,3070257,0.195944830383738,215654,2854603,2945098,3541155,0.83167723525234
OH,9181188,4039830,3488820,2640730,366690,7528650,1652538,0.17999173963108,92711,1559827,1883359,2148738,0.876495412656173
OK,3059009,1350220,1017040,1011790,42480,2367260,691749,0.226134999929716,32112,659637,616341,655978,0.93957571747833
OR,3401409,1514070,1253170,855050,41570,2767240,634169,0.186443029932596,22357,611812,752638,811056,0.927972914324042
PA,10329335,4585620,3957610,2720930,150120,8543230,1786105,0.172915778218056,182674,1603431,2288413,2527728,0.905324069678383
RI,892093,351820,383870,208570,17140,735690,156403,0.175321407073029,23278,133125,181819,205555,0.884527255479069
SC,4152041,1800770,1539660,1253380,82190,3340430,811611,0.195472780736028,42991,768620,951690,997449,0.954123970248103
SD,688563,356680,258910,211650,8560,615590,72973,0.105978683141557,7779,65194,158299,163487,0.968266590004098
TN,5493089,2446030,1983420,1683420,82970,4429450,1063639,0.193632216772748,47131,1016508,1133390,1203880,0.941447652589959
TX,22576319,9814010,8602110,8360230,263810,18416120,4160199,0.184272688563623,132604,4027595,3573775,4041782,0.884207757865219
UT,2446549,1306940,847120,949220,27760,2154060,292489,0.119551662361964,18981,273508,357554,402154,0.889097211515986
VA,6794181,3139330,2529050,2037110,123250,5668380,1125801,0.165700766582462,86851,1038950,1281799,1451950,0.882812080305796
VT,531700,249030,208780,112410,7170,457810,73890,0.13896934361482,14654,59236,126906,138984,0.913097910550855
WA,6126868,2925780,2261220,1750930,66580,5187000,939868,0.153401052544302,29488,910380,1171028,1300000,0.900790769230769
WI,4640604,2260250,1793690,1242470,34350,4053940,586664,0.126419750532474,51944,534720,1039858,1094472,0.950100139610698
WV,1419350,623260,455090,373740,18600,1078350,341000,0.240250819036883,16192,324808,346069,373914,0.92553100445557
WY,450855,233420,161040,133200,5980,394460,56395,0.125084561555267,4788,51607,98896,108171,0.914256131495502
