state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
AK,556127,260420,214460,176510,474880,81247,0.146094327374862,1621,79626,70946,82836,0.856463373412526
AL,3842153,1559140,1258900,1288960,2818040,1024113,0.266546647153302,37614,986499,742015,815438,0.909958819677278
AR,2285453,1001650,719550,781620,1721200,564253,0.246888909988523,26649,537604,457969,494684,0.925780902555975
AZ,5260034,2253170,1875910,1888560,4129080,1130954,0.21500887636848,34969,1095985,1006004,1189669,0.845616721962159
CA,30451306,12953240,11486900,11570070,24440140,6011166,0.197402567889863,180219,5830947,4540709,5521184,0.822415807913665
CO,4326404,2099030,1638140,1374610,3737170,589234,0.136194862985519,34811,554423,660075,771763,0.855281997193439
CT,2852640,1277320,1109280,810470,2386600,466040,0.163371473442145,48815,417225,527414,602345,0.875601192007902
DC,566492,127650,279140,134130,406790,159702,0.281913954654258,23778,135924,59621,81671,0.730014325770469
DE,756172,336820,290010,233430,626830,129342,0.171048385816983,9313,120029,157067,173227,0.906712002170562
FL,16698095,6992740,6564160,5107430,13556900,3141195,0.188116967833756,87271,3053924,3478703,4174218,0.833378371709384
GA,7922370,3217180,2878620,2984030,6095800,1826570,0.230558532358373,79800,1746770,1253470,1416807,0.884714714142434
HI,1150930,515760,426440,335710,942200,208730,0.181357684655018,5416,203314,216357,259810,0.832750856395058
IA,2420468,1231470,831410,752210,2062880,357588,0.147735066111182,39599,317989,492194,532696,0.923967891630498
ID,1283015,702910,408490,483690,1111400,171615,0.133759153244506,6945,164670,249368,269327,0.925893059366495
IL,10008120,4403720,3873300,3401740,8277020,1731100,0.172969548726434,84402,1646698,1676979,1947989,0.860877037806682
IN,5093908,2436190,1886350,1701720,4322540,771368,0.151429511487055,67477,703891,956813,1029021,0.929828448593372
KS,2207316,1114860,762740,741590,1877600,329716,0.149374172071421,24975,304741,407613,451257,0.903283494771272
KY,3450919,1548350,1124710,1072710,2673060,777859,0.225406333791086,39525,738334,642647,710064,0.905055037292413
LA,3568027,1319170,1295330,1294420,2614500,953527,0.26724209205816,22739,930788,602652,699754,0.861234090837637
MA,5569193,2423140,2211830,1437750,4634970,934223,0.167748361387368,132785,801438,937926,1133101,0.827751453753902
MD,4748830,2040770,1918970,1589250,3959740,789090,0.166165139623865,47304,741786,748975,905120,0.827486963054623
