filing_status,soi_returns,asec_returns,diff_M,ratio
joint_and_qss,54886428,60170488.72,5.28406072,1.09627262900038
married_separate,3992729,0,-3.992729,0
head_of_household,21268139,12436725.65,-8.83141335,0.584758527767756
single,81189363,83766164.36,2.57680136,1.03173816451793
total,161336659,156373378.73,-4.96328027,0.969236500242638
