state,age_band,income_tier,n_units,n_adults,year
AK,18_25,neg_zero,11832,11832,2018
AK,18_25,1_10k,19225,19225,2018
AK,18_25,10_25k,5759,6172,2018
AK,26_34,neg_zero,1815,1815,2018
AK,26_34,1_10k,13967,14482,2018
AK,26_34,10_25k,3764,4118,2018
AK,35_44,neg_zero,1915,1915,2018
AK,35_44,1_10k,5834,5914,2018
AK,35_44,10_25k,1440,1692,2018
AK,45_54,neg_zero,1145,1145,2018
AK,45_54,1_10k,5488,5919,2018
AK,45_54,10_25k,2509,3413,2018
AK,55_64,neg_zero,1597,1597,2018
AK,55_64,1_10k,6570,7312,2018
AK,55_64,10_25k,2893,5395,2018
AK,65_74,neg_zero,526,568,2018
AK,65_74,1_10k,2557,2654,2018
AK,65_74,10_25k,2096,3249,2018
AK,75p,neg_zero,426,426,2018
AK,75p,1_10k,1558,1631,2018
AK,75p,10_25k,1045,1876,2018
AL,18_25,neg_zero,151071,151949,2018
AL,18_25,1_10k,131034,131741,2018
AL,18_25,10_25k,21725,24711,2018
AL,26_34,neg_zero,45423,45479,2018
AL,26_34,1_10k,63210,64671,2018
AL,26_34,10_25k,34171,44429,2018
AL,35_44,neg_zero,41073,42424,2018
AL,35_44,1_10k,43625,45826,2018
AL,35_44,10_25k,25655,30627,2018
AL,45_54,neg_zero,30408,31750,2018
AL,45_54,1_10k,51808,55062,2018
AL,45_54,10_25k,22851,30109,2018
AL,55_64,neg_zero,24847,25353,2018
AL,55_64,1_10k,58946,61578,2018
AL,55_64,10_25k,26612,36798,2018
AL,65_74,neg_zero,8570,9679,2018
AL,65_74,1_10k,36995,40170,2018
AL,65_74,10_25k,21770,34117,2018
AL,75p,neg_zero,7032,7260,2018
AL,75p,1_10k,30413,31032,2018
AL,75p,10_25k,20251,30820,2018
AR,18_25,neg_zero,85885,85885,2018
AR,18_25,1_10k,69507,70327,2018
AR,18_25,10_25k,17988,20923,2018
AR,26_34,neg_zero,22809,22871,2018
AR,26_34,1_10k,33843,34719,2018
AR,26_34,10_25k,18772,23433,2018
AR,35_44,neg_zero,23342,23354,2018
AR,35_44,1_10k,27027,28059,2018
AR,35_44,10_25k,17146,20765,2018
AR,45_54,neg_zero,14939,15074,2018
AR,45_54,1_10k,26489,28485,2018
AR,45_54,10_25k,14492,21554,2018
AR,55_64,neg_zero,15902,17214,2018
AR,55_64,1_10k,35301,37416,2018
AR,55_64,10_25k,17271,25076,2018
AR,65_74,neg_zero,4867,5385,2018
AR,65_74,1_10k,20196,22177,2018
AR,65_74,10_25k,16465,26623,2018
AR,75p,neg_zero,3889,4221,2018
AR,75p,1_10k,19032,19524,2018
AR,75p,10_25k,14874,21748,2018
AZ,18_25,neg_zero,177154,177238,2018
AZ,18_25,1_10k,166318,168232,2018
AZ,18_25,10_25k,40899,44784,2018
AZ,26_34,neg_zero,69450,69661,2018
AZ,26_34,1_10k,75527,78276,2018
AZ,26_34,10_25k,38251,48763,2018
AZ,35_44,neg_zero,45029,46247,2018
AZ,35_44,1_10k,53082,56734,2018
AZ,35_44,10_25k,31956,45229,2018
AZ,45_54,neg_zero,39316,40657,2018
AZ,45_54,1_10k,47787,51944,2018
AZ,45_54,10_25k,25076,37401,2018
AZ,55_64,neg_zero,39885,43095,2018
AZ,55_64,1_10k,60034,65861,2018
AZ,55_64,10_25k,28920,44172,2018
AZ,65_74,neg_zero,15514,18107,2018
AZ,65_74,1_10k,36576,40795,2018
AZ,65_74,10_25k,28649,46496,2018
AZ,75p,neg_zero,13048,14581,2018
AZ,75p,1_10k,40027,41773,2018
AZ,75p,10_25k,22034,34524,2018
CA,18_25,neg_zero,1050414,1052483,2018
CA,18_25,1_10k,946522,950060,2018
CA,18_25,10_25k,239878,253566,2018
CA,26_34,neg_zero,369896,376205,2018
CA,26_34,1_10k,423605,438527,2018
CA,26_34,10_25k,226896,276377,2018
CA,35_44,neg_zero,239258,247768,2018
CA,35_44,1_10k,249687,266505,2018
CA,35_44,10_25k,200995,270794,2018
CA,45_54,neg_zero,207206,214238,2018
CA,45_54,1_10k,221049,238117,2018
CA,45_54,10_25k,191979,270916,2018
CA,55_64,neg_zero,221592,239644,2018
CA,55_64,1_10k,281166,314633,2018
CA,55_64,10_25k,219763,319408,2018
CA,65_74,neg_zero,112514,130296,2018
CA,65_74,1_10k,235836,262132,2018
CA,65_74,10_25k,231120,346477,2018
CA,75p,neg_zero,126484,141973,2018
CA,75p,1_10k,235013,250881,2018
CA,75p,10_25k,226192,323173,2018
CO,18_25,neg_zero,86197,86362,2018
CO,18_25,1_10k,130256,130682,2018
CO,18_25,10_25k,27312,29889,2018
CO,26_34,neg_zero,32588,32873,2018
CO,26_34,1_10k,47023,48463,2018
CO,26_34,10_25k,23198,28074,2018
CO,35_44,neg_zero,24181,24316,2018
CO,35_44,1_10k,27348,29068,2018
CO,35_44,10_25k,16422,22751,2018
CO,45_54,neg_zero,20675,21139,2018
CO,45_54,1_10k,33995,35783,2018
CO,45_54,10_25k,13986,18826,2018
CO,55_64,neg_zero,18941,19891,2018
CO,55_64,1_10k,34387,37879,2018
CO,55_64,10_25k,18842,25922,2018
CO,65_74,neg_zero,7997,8414,2018
CO,65_74,1_10k,24178,26725,2018
CO,65_74,10_25k,15658,23511,2018
CO,75p,neg_zero,6526,6604,2018
CO,75p,1_10k,20694,21717,2018
CO,75p,10_25k,15728,23587,2018
CT,18_25,neg_zero,62007,62007,2018
CT,18_25,1_10k,91576,92274,2018
CT,18_25,10_25k,19511,20147,2018
CT,26_34,neg_zero,19018,19057,2018
CT,26_34,1_10k,30794,31533,2018
CT,26_34,10_25k,14275,17360,2018
CT,35_44,neg_zero,12799,12920,2018
CT,35_44,1_10k,21647,22461,2018
CT,35_44,10_25k,13714,16955,2018
CT,45_54,neg_zero,16331,16886,2018
CT,45_54,1_10k,22932,23432,2018
CT,45_54,10_25k,14065,17672,2018
CT,55_64,neg_zero,14480,15086,2018
CT,55_64,1_10k,25659,26884,2018
CT,55_64,10_25k,10424,14756,2018
CT,65_74,neg_zero,5800,6713,2018
CT,65_74,1_10k,19519,20429,2018
CT,65_74,10_25k,9950,14090,2018
CT,75p,neg_zero,5603,6533,2018
CT,75p,1_10k,17796,18195,2018
CT,75p,10_25k,10694,14705,2018
DC,18_25,neg_zero,16244,16244,2018
DC,18_25,1_10k,15988,16092,2018
DC,18_25,10_25k,2272,2361,2018
DC,26_34,neg_zero,7604,7604,2018
DC,26_34,1_10k,10049,10049,2018
DC,26_34,10_25k,2940,3108,2018
DC,35_44,neg_zero,4661,4661,2018
DC,35_44,1_10k,5373,5373,2018
DC,35_44,10_25k,2403,2648,2018
