state,n_units,year,variant
AK,326293,2020,v0
AL,2038449,2020,v0
AR,1218754,2020,v0
AZ,3271083,2020,v0
CA,16836436,2020,v0
CO,2690287,2020,v0
CT,1650423,2020,v0
DC,375698,2020,v0
DE,461044,2020,v0
FL,9678752,2020,v0
GA,4438932,2020,v0
HI,654468,2020,v0
IA,1391306,2020,v0
ID,765046,2020,v0
IL,5528367,2020,v0
IN,2885422,2020,v0
KS,1256104,2020,v0
KY,1844110,2020,v0
LA,1828461,2020,v0
MA,3226622,2020,v0
MD,2755293,2020,v0
ME,631113,2020,v0
MI,4463830,2020,v0
MN,2591310,2020,v0
MO,2668032,2020,v0
MS,1142001,2020,v0
MT,473560,2020,v0
NC,4575621,2020,v0
ND,337874,2020,v0
NE,827280,2020,v0
NH,653969,2020,v0
NJ,3986930,2020,v0
NM,870740,2020,v0
NV,1412815,2020,v0
NY,8682748,2020,v0
OH,5167643,2020,v0
OK,1622735,2020,v0
OR,1955099,2020,v0
PA,5824476,2020,v0
RI,507485,2020,v0
SC,2201797,2020,v0
SD,383697,2020,v0
TN,2971114,2020,v0
TX,11780899,2020,v0
UT,1289711,2020,v0
VA,3848976,2020,v0
VT,289748,2020,v0
WA,3543292,2020,v0
WI,2660323,2020,v0
WV,752362,2020,v0
WY,252994,2020,v0
AK,306734,2020,gq_excluded
AL,2016112,2020,gq_excluded
AR,1205018,2020,gq_excluded
AZ,3242746,2020,gq_excluded
CA,16643481,2020,gq_excluded
CO,2658735,2020,gq_excluded
CT,1618781,2020,gq_excluded
DC,370029,2020,gq_excluded
DE,455817,2020,gq_excluded
FL,9605679,2020,gq_excluded
GA,4395799,2020,gq_excluded
HI,633293,2020,gq_excluded
IA,1373107,2020,gq_excluded
ID,761154,2020,gq_excluded
IL,5475615,2020,gq_excluded
IN,2860088,2020,gq_excluded
KS,1239031,2020,gq_excluded
KY,1819401,2020,gq_excluded
LA,1808182,2020,gq_excluded
MA,3185876,2020,gq_excluded
MD,2729695,2020,gq_excluded
ME,626395,2020,gq_excluded
MI,4404333,2020,gq_excluded
MN,2551144,2020,gq_excluded
MO,2640807,2020,gq_excluded
MS,1125856,2020,gq_excluded
MT,465947,2020,gq_excluded
NC,4501906,2020,gq_excluded
ND,329977,2020,gq_excluded
NE,815741,2020,gq_excluded
NH,643762,2020,gq_excluded
NJ,3949245,2020,gq_excluded
NM,861208,2020,gq_excluded
NV,1404547,2020,gq_excluded
NY,8565099,2020,gq_excluded
OH,5097257,2020,gq_excluded
OK,1602992,2020,gq_excluded
OR,1926351,2020,gq_excluded
PA,5715388,2020,gq_excluded
RI,495723,2020,gq_excluded
SC,2163479,2020,gq_excluded
SD,375041,2020,gq_excluded
TN,2939630,2020,gq_excluded
TX,11665098,2020,gq_excluded
UT,1277795,2020,gq_excluded
VA,3775092,2020,gq_excluded
VT,286574,2020,gq_excluded
WA,3488075,2020,gq_excluded
WI,2638119,2020,gq_excluded
WV,745554,2020,gq_excluded
WY,247524,2020,gq_excluded
AK,326293,2020,gq_differentiated
AL,2038449,2020,gq_differentiated
AR,1218754,2020,gq_differentiated
AZ,3271083,2020,gq_differentiated
CA,16836436,2020,gq_differentiated
CO,2690287,2020,gq_differentiated
CT,1650423,2020,gq_differentiated
DC,375698,2020,gq_differentiated
DE,461044,2020,gq_differentiated
FL,9678752,2020,gq_differentiated
GA,4438932,2020,gq_differentiated
HI,654468,2020,gq_differentiated
IA,1391306,2020,gq_differentiated
ID,765046,2020,gq_differentiated
IL,5528367,2020,gq_differentiated
IN,2885422,2020,gq_differentiated
KS,1256104,2020,gq_differentiated
KY,1844110,2020,gq_differentiated
LA,1828461,2020,gq_differentiated
MA,3226622,2020,gq_differentiated
MD,2755293,2020,gq_differentiated
ME,631113,2020,gq_differentiated
MI,4463830,2020,gq_differentiated
MN,2591310,2020,gq_differentiated
MO,2668032,2020,gq_differentiated
MS,1142001,2020,gq_differentiated
MT,473560,2020,gq_differentiated
NC,4575621,2020,gq_differentiated
ND,337874,2020,gq_differentiated
NE,827280,2020,gq_differentiated
NH,653969,2020,gq_differentiated
NJ,3986930,2020,gq_differentiated
NM,870740,2020,gq_differentiated
NV,1412815,2020,gq_differentiated
NY,8682748,2020,gq_differentiated
OH,5167643,2020,gq_differentiated
OK,1622735,2020,gq_differentiated
OR,1955099,2020,gq_differentiated
PA,5824476,2020,gq_differentiated
RI,507485,2020,gq_differentiated
SC,2201797,2020,gq_differentiated
SD,383697,2020,gq_differentiated
TN,2971114,2020,gq_differentiated
TX,11780899,2020,gq_differentiated
UT,1289711,2020,gq_differentiated
VA,3848976,2020,gq_differentiated
VT,289748,2020,gq_differentiated
WA,3543292,2020,gq_differentiated
WI,2660323,2020,gq_differentiated
WV,752362,2020,gq_differentiated
WY,252994,2020,gq_differentiated
