filing_status,soi_returns,asec_returns,diff_M,ratio
joint_and_qss,54796116,60647381.9755,5.8512659755,1.10678249486697
married_separate,3719351,0,-3.719351,0
head_of_household,21663339,11215496.3007,-10.4478426993,0.517717804291388
single,77618002,79417002.2703,1.7990002703,1.0231776163254
total,157796808,151279880.5465,-6.5169274535,0.958700511524289
