state,dorm_student,institutional,other_noninstitutional,residual_nonfiling_adults,gq_adults_pct_of_residual
SD,9904,15168,5276,73749.7093659298,41.1499926724049
AK,2149,7112,20290,87930.6984269489,33.6071480480169
VT,15447,4965,3673,74467.6333514454,32.3429104915049
ND,13676,9984,3537,88259.931194633,30.8146625902353
MN,43843,54758,34554,475124.944988877,28.0252597562768
RI,25442,12085,6467,157331.243333097,27.9626595887615
NH,16424,13958,5909,132417.307848905,27.4065381554275
DC,21285,5061,11094,143586.411212155,26.0748908506953
CT,65093,35819,17497,458807.136923012,25.808011792081
MA,139388,54735,39700,939102.678035376,24.8985553410584
IA,45095,41924,10337,391543.755047607,24.8646540124648
NE,19228,19947,6345,185144.484055908,24.5862037057795
KS,31837,40610,12970,348528.044811019,24.5079273452199
PA,206676,169701,47349,1796884.26339982,23.58115147596
WY,5255,6322,1638,56892.7026535269,23.2279350138779
WI,54922,55972,25429,591778.984270241,23.0361340337404
MT,7501,12281,8203,125682.22822958,22.2664734658274
ID,19557,20941,8635,226091.555657687,21.7314617775419
ME,16254,14677,5602,168773.541921919,21.6461653787544
IN,72654,89526,14242,832130.550619491,21.201240582822
VA,92970,95291,46092,1132952.97426152,20.6851480444505
CO,43760,51891,24504,611093.887061012,19.6622814503794
NY,237611,168936,188522,3086153.21597138,19.281900746872
HI,7038,9594,23346,214155.763688392,18.6677207801748
MO,56822,78048,25829,861956.941756854,18.6435066782409
OH,98044,151623,31646,1662037.13573613,16.9257950951502
UT,23419,16495,10020,295206.845606288,16.9149194008177
SC,54475,53451,28604,815825.726144403,16.7351917970571
OK,34686,63572,17752,694735.84678697,16.6984330140046
NC,112181,104147,60885,1665200.21498377,16.6474275889222
DE,10905,9536,2045,135955.394492346,16.539248099689
MD,45698,57850,20737,771585.233695316,16.107747345652
WA,35897,49909,65846,946412.601895868,16.0238779255695
IL,82562,143576,46190,1713530.60381918,15.8928004783238
MI,74314,97311,36913,1331431.77027014,15.6626876912881
NJ,56204,78305,32170,1072610.81141672,15.5395599434475
OR,24855,36578,34421,637660.514199021,15.032136672349
KY,33467,66202,18333,786130.106032011,15.010492422891
WV,16501,30872,3873,342360.588288878,14.9684285379132
MS,32314,52080,8433,626145.821180271,14.8251408633572
AR,27082,46851,7545,560667.418358292,14.5323229658285
CA,214670,300451,345876,5934098.17213858,14.5093150639553
TX,151306,351729,92956,4183435.2008611,14.2464499002476
FL,135570,253144,81348,3332755.20335162,14.104306236692
TN,51744,74878,18217,1069227.77710963,13.5461314324936
AL,57731,67247,12310,1047587.25172139,13.1051613862625
GA,78643,131686,36789,1891683.28043246,13.0633918772865
LA,32012,76843,13532,942938.656097437,12.9793172873542
AZ,40845,80334,30775,1259828.25339766,12.0614853326389
NM,9210,21311,10461,363479.043692942,11.2749278702903
NV,3485,23334,7326,459732.940205232,7.42713802164299
