band,residual_nonfiling_adults,taxdata_adults,year,taxdata_share,residual_share
18_25,11476247,3055823.62472,2017,0.0996083418755086,0.242412679186081
26_34,5601233,2988901.93056,2017,0.0974269466742762,0.118314802589687
35_44,5003354,3304327.77759,2017,0.107708641387666,0.105685808963191
45_54,6367745,4189078.39039,2017,0.136548179377174,0.134505829808628
55_64,7020106,4452905.01898,2017,0.145147933893066,0.148285646311924
65p,11873092,12687353.91443,2017,0.413559956792309,0.250795233140488
18_25,10336277,3061888.49873958,2022,0.0946194948743389,0.222104108424813
26_34,5850640,3072743.48722945,2022,0.0949549393322937,0.125717526814979
35_44,5630420,3534471.42377514,2022,0.109223409311951,0.120985478055323
45_54,5791616,4112212.93844074,2022,0.127076969396878,0.124449229448754
55_64,7290574,4519947.502827,2022,0.139676918265336,0.156658576214156
65p,11638455,14058753.5302474,2022,0.434448268819202,0.250085081041976
