state,gq_type,band,persons,year
AK,dorm_student,18_25,964,2020
AK,institutional,18_25,681,2020
AK,institutional,26_34,1046,2020
AK,institutional,35_44,1761,2020
AK,institutional,45_54,1207,2020
AK,institutional,55_64,466,2020
AK,institutional,65p,1276,2020
AK,institutional,u18,136,2020
AK,other_noninstitutional,18_25,6705,2020
AK,other_noninstitutional,26_34,6919,2020
AK,other_noninstitutional,35_44,1254,2020
AK,other_noninstitutional,45_54,2653,2020
AK,other_noninstitutional,55_64,846,2020
AK,other_noninstitutional,65p,862,2020
AK,other_noninstitutional,u18,239,2020
AL,dorm_student,18_25,39651,2020
AL,institutional,18_25,4571,2020
AL,institutional,26_34,11104,2020
AL,institutional,35_44,11941,2020
AL,institutional,45_54,7787,2020
AL,institutional,55_64,7247,2020
AL,institutional,65p,19895,2020
AL,institutional,u18,1732,2020
AL,other_noninstitutional,18_25,2959,2020
AL,other_noninstitutional,26_34,2935,2020
AL,other_noninstitutional,35_44,1821,2020
AL,other_noninstitutional,45_54,2501,2020
AL,other_noninstitutional,55_64,1215,2020
AL,other_noninstitutional,65p,1256,2020
AL,other_noninstitutional,u18,152,2020
AR,dorm_student,18_25,26163,2020
AR,institutional,18_25,3702,2020
AR,institutional,26_34,7936,2020
AR,institutional,35_44,9014,2020
AR,institutional,45_54,6818,2020
AR,institutional,55_64,3962,2020
AR,institutional,65p,14783,2020
AR,institutional,u18,2147,2020
AR,other_noninstitutional,18_25,1114,2020
AR,other_noninstitutional,26_34,1409,2020
AR,other_noninstitutional,35_44,570,2020
AR,other_noninstitutional,45_54,986,2020
AR,other_noninstitutional,55_64,2295,2020
AR,other_noninstitutional,65p,1249,2020
AR,other_noninstitutional,u18,217,2020
AZ,dorm_student,18_25,46602,2020
AZ,institutional,18_25,6645,2020
AZ,institutional,26_34,19089,2020
AZ,institutional,35_44,22598,2020
AZ,institutional,45_54,9338,2020
AZ,institutional,55_64,8043,2020
AZ,institutional,65p,14037,2020
AZ,institutional,u18,2065,2020
AZ,other_noninstitutional,18_25,6320,2020
AZ,other_noninstitutional,26_34,6731,2020
AZ,other_noninstitutional,35_44,2487,2020
AZ,other_noninstitutional,45_54,2997,2020
AZ,other_noninstitutional,55_64,4249,2020
AZ,other_noninstitutional,65p,3646,2020
AZ,other_noninstitutional,u18,977,2020
CA,dorm_student,18_25,209343,2020
CA,institutional,18_25,34509,2020
CA,institutional,26_34,70367,2020
CA,institutional,35_44,64774,2020
CA,institutional,45_54,42980,2020
CA,institutional,55_64,38937,2020
CA,institutional,65p,96660,2020
CA,institutional,u18,13631,2020
CA,other_noninstitutional,18_25,62354,2020
CA,other_noninstitutional,26_34,41204,2020
CA,other_noninstitutional,35_44,28909,2020
CA,other_noninstitutional,45_54,28014,2020
CA,other_noninstitutional,55_64,34330,2020
CA,other_noninstitutional,65p,60005,2020
CA,other_noninstitutional,u18,3957,2020
CO,dorm_student,18_25,39202,2020
CO,institutional,18_25,3977,2020
CO,institutional,26_34,10709,2020
CO,institutional,35_44,14637,2020
CO,institutional,45_54,5031,2020
CO,institutional,55_64,5943,2020
CO,institutional,65p,15341,2020
CO,institutional,u18,1795,2020
CO,other_noninstitutional,18_25,7084,2020
CO,other_noninstitutional,26_34,5898,2020
CO,other_noninstitutional,35_44,1758,2020
CO,other_noninstitutional,45_54,2662,2020
CO,other_noninstitutional,55_64,1792,2020
CO,other_noninstitutional,65p,1411,2020
CO,other_noninstitutional,u18,680,2020
CT,dorm_student,18_25,50549,2020
CT,institutional,18_25,2914,2020
CT,institutional,26_34,3974,2020
CT,institutional,35_44,4711,2020
CT,institutional,45_54,2775,2020
CT,institutional,55_64,3900,2020
CT,institutional,65p,20398,2020
CT,institutional,u18,1006,2020
CT,other_noninstitutional,18_25,3953,2020
CT,other_noninstitutional,26_34,2559,2020
CT,other_noninstitutional,35_44,1606,2020
CT,other_noninstitutional,45_54,2617,2020
CT,other_noninstitutional,55_64,3654,2020
CT,other_noninstitutional,65p,5002,2020
CT,other_noninstitutional,u18,988,2020
DC,dorm_student,18_25,22450,2020
DC,institutional,18_25,1442,2020
DC,institutional,26_34,344,2020
DC,institutional,35_44,541,2020
DC,institutional,45_54,923,2020
DC,institutional,55_64,249,2020
DC,institutional,65p,2551,2020
DC,institutional,u18,200,2020
DC,other_noninstitutional,18_25,1516,2020
DC,other_noninstitutional,26_34,1397,2020
DC,other_noninstitutional,35_44,1399,2020
DC,other_noninstitutional,45_54,739,2020
DC,other_noninstitutional,55_64,3068,2020
DC,other_noninstitutional,65p,1475,2020
DC,other_noninstitutional,u18,508,2020
DE,dorm_student,18_25,10116,2020
DE,institutional,18_25,1402,2020
DE,institutional,26_34,2454,2020
DE,institutional,35_44,1517,2020
DE,institutional,45_54,734,2020
DE,institutional,55_64,1307,2020
DE,institutional,65p,3916,2020
DE,institutional,u18,221,2020
DE,other_noninstitutional,18_25,380,2020
DE,other_noninstitutional,26_34,154,2020
DE,other_noninstitutional,45_54,924,2020
DE,other_noninstitutional,55_64,809,2020
DE,other_noninstitutional,65p,90,2020
DE,other_noninstitutional,u18,914,2020
FL,dorm_student,18_25,96278,2020
FL,institutional,18_25,29130,2020
FL,institutional,26_34,42267,2020
FL,institutional,35_44,44832,2020
FL,institutional,45_54,29618,2020
FL,institutional,55_64,23401,2020
FL,institutional,65p,73391,2020
FL,institutional,u18,6422,2020
FL,other_noninstitutional,18_25,19227,2020
FL,other_noninstitutional,26_34,11359,2020
FL,other_noninstitutional,35_44,10197,2020
FL,other_noninstitutional,45_54,12618,2020
FL,other_noninstitutional,55_64,13779,2020
FL,other_noninstitutional,65p,14870,2020
FL,other_noninstitutional,u18,2929,2020
GA,dorm_student,18_25,89098,2020
GA,institutional,18_25,14141,2020
GA,institutional,26_34,31529,2020
GA,institutional,35_44,30897,2020
GA,institutional,45_54,19299,2020
GA,institutional,55_64,13247,2020
GA,institutional,65p,30484,2020
GA,institutional,u18,2413,2020
GA,other_noninstitutional,18_25,16263,2020
GA,other_noninstitutional,26_34,4655,2020
GA,other_noninstitutional,35_44,2744,2020
GA,other_noninstitutional,45_54,3917,2020
GA,other_noninstitutional,55_64,4779,2020
GA,other_noninstitutional,65p,3498,2020
GA,other_noninstitutional,u18,1058,2020
HI,dorm_student,18_25,5973,2020
HI,institutional,18_25,250,2020
HI,institutional,26_34,1553,2020
HI,institutional,35_44,1406,2020
HI,institutional,45_54,986,2020
HI,institutional,55_64,1665,2020
HI,institutional,65p,4748,2020
HI,institutional,u18,198,2020
HI,other_noninstitutional,18_25,12178,2020
HI,other_noninstitutional,26_34,4207,2020
HI,other_noninstitutional,35_44,1119,2020
HI,other_noninstitutional,45_54,1211,2020
HI,other_noninstitutional,55_64,1688,2020
HI,other_noninstitutional,65p,4310,2020
HI,other_noninstitutional,u18,826,2020
IA,dorm_student,18_25,44451,2020
IA,institutional,18_25,2552,2020
IA,institutional,26_34,4223,2020
IA,institutional,35_44,3652,2020
IA,institutional,45_54,3739,2020
IA,institutional,55_64,2151,2020
IA,institutional,65p,22343,2020
IA,institutional,u18,2316,2020
