soi_variable,variable,asec_amount,asec_positive_M,soi_amount,asec_over_soi,asec_over_ssa_wages
agi_amt,ADJGINC,9728424972999.78,143.54010846,10135264765000,0.959858987265418,
,TAXINC,7053040122022.51,118.80907488,,,
,INCTOT,10633709899561.3,228.23936864,,,
wages_amt,INCWAGE,8005542556068.89,155.74299759,7130323970000,1.12274597756726,
int_amt,INCINT,298618247029.77,132.65725146,94248682000,3.1684076709929,
div_amt,INCDIVID,129816045414.91,30.00098365,247216477000,0.525110813770354,
,INCRENT,99217931808.83,11.31388462,,,
,INCBUS,382747028516.61,11.38460772,,,
,INCFARM,37077107426.84,1.78272402,,,
,INCSS,769252673432.36,51.43377426,,,
,INCRETIR,545492419721.16,22.68003167,,,
eitc_amt,EITCRED,43422708004.99,20.69292926,66095635000,0.656967861871514,
,FEDTAX,1360525397476.26,112.97016654,,,
