filing_status,soi_returns,asec_returns,diff_M,ratio
joint_and_qss,54568940,60608406.3,6.0394663,1.11067589548194
married_separate,4139858,0,-4.139858,0
head_of_household,21604491,12581030.51,-9.02346049,0.582334039251376
single,80288820,84608314.07,4.31949406999999,1.05379944642355
total,160602109,157797750.88,-2.80435812000001,0.982538472642349
