state,age_band,income_tier,n_units,n_adults,year
AK,18_25,neg_zero,11953,11953,2019
AK,18_25,1_10k,21225,21225,2019
AK,18_25,10_25k,3566,4300,2019
AK,26_34,neg_zero,2568,2568,2019
AK,26_34,1_10k,9180,9315,2019
AK,26_34,10_25k,1281,1703,2019
AK,35_44,neg_zero,2107,2107,2019
AK,35_44,1_10k,7373,7404,2019
AK,35_44,10_25k,2268,3015,2019
AK,45_54,neg_zero,2922,3463,2019
AK,45_54,1_10k,5221,5519,2019
AK,45_54,10_25k,1205,1696,2019
AK,55_64,neg_zero,733,733,2019
AK,55_64,1_10k,6055,6224,2019
AK,55_64,10_25k,2028,2496,2019
AK,65_74,neg_zero,412,412,2019
AK,65_74,1_10k,1347,1533,2019
AK,65_74,10_25k,4168,6207,2019
AK,75p,neg_zero,538,538,2019
AK,75p,1_10k,939,968,2019
AK,75p,10_25k,848,1194,2019
AL,18_25,neg_zero,148384,148384,2019
AL,18_25,1_10k,123992,124543,2019
AL,18_25,10_25k,36951,38969,2019
AL,26_34,neg_zero,41773,41812,2019
AL,26_34,1_10k,53976,55066,2019
AL,26_34,10_25k,34183,41126,2019
AL,35_44,neg_zero,31447,32040,2019
AL,35_44,1_10k,50885,52902,2019
AL,35_44,10_25k,32470,41199,2019
AL,45_54,neg_zero,33292,34996,2019
AL,45_54,1_10k,43566,47108,2019
AL,45_54,10_25k,25948,34384,2019
AL,55_64,neg_zero,22146,23055,2019
AL,55_64,1_10k,52968,56982,2019
AL,55_64,10_25k,32777,44727,2019
AL,65_74,neg_zero,8555,9294,2019
AL,65_74,1_10k,33136,34738,2019
AL,65_74,10_25k,27064,39862,2019
AL,75p,neg_zero,7672,8566,2019
AL,75p,1_10k,32199,33567,2019
AL,75p,10_25k,21132,29776,2019
AR,18_25,neg_zero,85464,86252,2019
AR,18_25,1_10k,72959,73693,2019
AR,18_25,10_25k,23982,26837,2019
AR,26_34,neg_zero,22353,22812,2019
AR,26_34,1_10k,25376,26561,2019
AR,26_34,10_25k,24307,28190,2019
AR,35_44,neg_zero,22222,22693,2019
AR,35_44,1_10k,23153,24932,2019
AR,35_44,10_25k,20664,29419,2019
AR,45_54,neg_zero,16646,16791,2019
AR,45_54,1_10k,23787,25294,2019
AR,45_54,10_25k,19019,24850,2019
AR,55_64,neg_zero,12312,12743,2019
AR,55_64,1_10k,31247,32838,2019
AR,55_64,10_25k,22332,31575,2019
AR,65_74,neg_zero,3180,3438,2019
AR,65_74,1_10k,19349,19902,2019
AR,65_74,10_25k,18970,29020,2019
AR,75p,neg_zero,4546,5121,2019
AR,75p,1_10k,18864,19818,2019
AR,75p,10_25k,17985,24020,2019
AZ,18_25,neg_zero,187628,187628,2019
AZ,18_25,1_10k,155066,156109,2019
AZ,18_25,10_25k,53661,57697,2019
AZ,26_34,neg_zero,65690,66630,2019
AZ,26_34,1_10k,75313,78646,2019
AZ,26_34,10_25k,37810,46919,2019
AZ,35_44,neg_zero,53515,55279,2019
AZ,35_44,1_10k,44690,48111,2019
AZ,35_44,10_25k,31401,38782,2019
AZ,45_54,neg_zero,42201,43795,2019
AZ,45_54,1_10k,42209,46168,2019
AZ,45_54,10_25k,28902,39352,2019
AZ,55_64,neg_zero,40226,42968,2019
AZ,55_64,1_10k,59189,63787,2019
AZ,55_64,10_25k,36256,52624,2019
AZ,65_74,neg_zero,14647,16935,2019
AZ,65_74,1_10k,39563,43960,2019
AZ,65_74,10_25k,34495,50985,2019
AZ,75p,neg_zero,12243,13709,2019
AZ,75p,1_10k,40254,43500,2019
AZ,75p,10_25k,32209,47428,2019
CA,18_25,neg_zero,1045328,1047707,2019
CA,18_25,1_10k,863746,867722,2019
CA,18_25,10_25k,310218,323151,2019
CA,26_34,neg_zero,373650,376568,2019
CA,26_34,1_10k,362030,370742,2019
CA,26_34,10_25k,267662,316270,2019
CA,35_44,neg_zero,226417,232094,2019
CA,35_44,1_10k,231988,246053,2019
CA,35_44,10_25k,225235,295803,2019
CA,45_54,neg_zero,193193,201294,2019
CA,45_54,1_10k,201292,216799,2019
CA,45_54,10_25k,185185,251568,2019
CA,55_64,neg_zero,212902,229279,2019
CA,55_64,1_10k,257836,282153,2019
CA,55_64,10_25k,252920,357874,2019
CA,65_74,neg_zero,106927,121728,2019
CA,65_74,1_10k,230753,257370,2019
CA,65_74,10_25k,262924,379409,2019
CA,75p,neg_zero,104202,116862,2019
CA,75p,1_10k,234093,249601,2019
CA,75p,10_25k,255029,346053,2019
CO,18_25,neg_zero,90098,90098,2019
CO,18_25,1_10k,135480,136789,2019
CO,18_25,10_25k,38310,39852,2019
CO,26_34,neg_zero,34248,35280,2019
CO,26_34,1_10k,48180,49237,2019
CO,26_34,10_25k,25695,30393,2019
CO,35_44,neg_zero,26245,26620,2019
CO,35_44,1_10k,29306,30958,2019
CO,35_44,10_25k,22062,27873,2019
CO,45_54,neg_zero,14449,14739,2019
CO,45_54,1_10k,24567,26218,2019
CO,45_54,10_25k,18920,24567,2019
CO,55_64,neg_zero,20238,22247,2019
CO,55_64,1_10k,37621,40450,2019
CO,55_64,10_25k,17579,23034,2019
CO,65_74,neg_zero,6470,7139,2019
CO,65_74,1_10k,24793,26632,2019
CO,65_74,10_25k,19763,28077,2019
CO,75p,neg_zero,6102,6586,2019
CO,75p,1_10k,21682,22260,2019
CO,75p,10_25k,16230,22148,2019
CT,18_25,neg_zero,73170,73170,2019
CT,18_25,1_10k,87914,87914,2019
CT,18_25,10_25k,27124,27515,2019
CT,26_34,neg_zero,21854,21854,2019
CT,26_34,1_10k,31477,32219,2019
CT,26_34,10_25k,16970,18335,2019
CT,35_44,neg_zero,11956,12201,2019
CT,35_44,1_10k,20208,22302,2019
CT,35_44,10_25k,13307,17228,2019
CT,45_54,neg_zero,17456,17601,2019
CT,45_54,1_10k,22036,23073,2019
CT,45_54,10_25k,15870,19902,2019
CT,55_64,neg_zero,13232,13885,2019
CT,55_64,1_10k,30002,30963,2019
CT,55_64,10_25k,15362,19415,2019
CT,65_74,neg_zero,5079,5511,2019
CT,65_74,1_10k,19254,20203,2019
CT,65_74,10_25k,12381,18038,2019
CT,75p,neg_zero,5921,6558,2019
CT,75p,1_10k,16491,18106,2019
CT,75p,10_25k,12406,15819,2019
DC,18_25,neg_zero,15103,15103,2019
DC,18_25,1_10k,14595,14668,2019
DC,18_25,10_25k,2589,2589,2019
DC,26_34,neg_zero,6294,6341,2019
DC,26_34,1_10k,12025,12025,2019
DC,26_34,10_25k,2510,2510,2019
DC,35_44,neg_zero,4439,4439,2019
DC,35_44,1_10k,5845,5946,2019
DC,35_44,10_25k,1766,1766,2019
DC,45_54,neg_zero,7117,7117,2019
DC,45_54,1_10k,5302,5302,2019
DC,45_54,10_25k,2460,2545,2019
DC,55_64,neg_zero,3240,3438,2019
DC,55_64,1_10k,10323,10481,2019
DC,55_64,10_25k,1940,2084,2019
DC,65_74,neg_zero,1936,1936,2019
DC,65_74,1_10k,7181,7181,2019
DC,65_74,10_25k,2272,2567,2019
DC,75p,neg_zero,1838,2047,2019
DC,75p,1_10k,3246,3294,2019
DC,75p,10_25k,1191,1710,2019
DE,18_25,neg_zero,19715,19715,2019
DE,18_25,1_10k,23036,23174,2019
DE,18_25,10_25k,7395,7513,2019
DE,26_34,neg_zero,8237,8237,2019
DE,26_34,1_10k,8360,8685,2019
DE,26_34,10_25k,4268,4905,2019
DE,35_44,neg_zero,5696,5696,2019
DE,35_44,1_10k,3208,3219,2019
DE,35_44,10_25k,4190,5227,2019
DE,45_54,neg_zero,3288,3288,2019
DE,45_54,1_10k,6762,7281,2019
DE,45_54,10_25k,2962,4390,2019
DE,55_64,neg_zero,4742,4831,2019
DE,55_64,1_10k,8980,9225,2019
DE,55_64,10_25k,3287,4678,2019
DE,65_74,neg_zero,1443,1443,2019
DE,65_74,1_10k,4941,5410,2019
DE,65_74,10_25k,3520,5339,2019
DE,75p,neg_zero,2260,2260,2019
DE,75p,1_10k,5032,5421,2019
DE,75p,10_25k,2857,4345,2019
FL,18_25,neg_zero,532256,533005,2019
FL,18_25,1_10k,436213,437321,2019
FL,18_25,10_25k,157425,162703,2019
FL,26_34,neg_zero,186407,188483,2019
FL,26_34,1_10k,208634,212765,2019
FL,26_34,10_25k,130553,153825,2019
FL,35_44,neg_zero,151322,155357,2019
FL,35_44,1_10k,149614,156775,2019
FL,35_44,10_25k,112832,142149,2019
FL,45_54,neg_zero,123388,126378,2019
FL,45_54,1_10k,136370,144617,2019
FL,45_54,10_25k,105741,138622,2019
FL,55_64,neg_zero,126975,134474,2019
FL,55_64,1_10k,205273,219119,2019
FL,55_64,10_25k,128838,179535,2019
FL,65_74,neg_zero,64963,74210,2019
FL,65_74,1_10k,180808,195477,2019
FL,65_74,10_25k,150876,218450,2019
FL,75p,neg_zero,61750,68444,2019
FL,75p,1_10k,206406,216078,2019
FL,75p,10_25k,140744,197990,2019
GA,18_25,neg_zero,300125,300360,2019
GA,18_25,1_10k,266528,267820,2019
GA,18_25,10_25k,75712,82116,2019
GA,26_34,neg_zero,84339,84976,2019
GA,26_34,1_10k,114918,115722,2019
GA,26_34,10_25k,70969,80837,2019
GA,35_44,neg_zero,60932,62232,2019
GA,35_44,1_10k,71742,74799,2019
GA,35_44,10_25k,59217,75776,2019
GA,45_54,neg_zero,58008,60679,2019
GA,45_54,1_10k,66424,69798,2019
GA,45_54,10_25k,50944,69002,2019
GA,55_64,neg_zero,52573,54844,2019
GA,55_64,1_10k,89237,95758,2019
GA,55_64,10_25k,55174,78146,2019
GA,65_74,neg_zero,22212,24136,2019
GA,65_74,1_10k,69843,74122,2019
