state,irs_married_adults,irs_single_adults,irs_children,acs_married_adults,acs_single_adults,acs_children,nonfiler_married_adults,irs_share_married_adults,nonfiler_single_adults,irs_share_single_adults,nonfiler_children,irs_share_children
AK,260420,214460,176510,269302,284702,185791,8882,0.96701844026409,70242,0.753278867025873,9281,0.950046019451965
AL,1559140,1258900,1288960,1847746,1935817,1091184,288606,0.843806453917367,676917,0.650319735801473,-197776,1.1812489919207
AR,1001650,719550,781620,1188430,1107158,708691,186780,0.842834664220863,387608,0.649907239978395,-72929,1.10290662644227
AZ,2253170,1875910,1888560,2652937,2731497,1631836,399767,0.84931153661018,855587,0.686769928724066,-256724,1.15732218188592
CA,12953240,11486900,11570070,14936339,15549978,9050336,1983099,0.867229914907529,4063078,0.738708440616443,-2519734,1.27841330973789
CO,2099030,1638140,1374610,2293013,2055412,1258729,193983,0.915402572946599,417272,0.796988632935879,-115881,1.09206191324741
CT,1277320,1109280,810470,1394249,1451900,742035,116929,0.916134779368678,342620,0.764019560575797,-68435,1.09222610793291
DC,127650,279140,134130,164619,405322,124031,36969,0.77542689482988,126182,0.688687019209419,-10099,1.08142319258895
DE,336820,290010,233430,376248,381346,204345,39428,0.895207416384938,91336,0.760490473218547,-29085,1.14233281949644
FL,6992740,6564160,5107430,8081122,8704588,4198690,1088382,0.865317959560566,2140428,0.754103468194014,-908740,1.21643417351603
GA,3217180,2878620,2984030,3894864,4021605,2512910,677684,0.826005734731688,1142985,0.715788845498253,-471120,1.18747985403377
HI,515760,426440,335710,577444,545198,304896,61684,0.893177520244387,118758,0.782174549429749,-30814,1.10106396935348
IA,1231470,831410,752210,1330994,1084148,730569,99524,0.925225808681331,252738,0.766878691839122,-21641,1.02962211645991
ID,702910,408490,483690,721746,552881,442316,18836,0.973902176111818,144391,0.738838918320579,-41374,1.09353946047622
IL,4403720,3873300,3401740,4921174,4989496,2891353,517454,0.894851513073913,1116196,0.776290831779402,-510387,1.17652185672244
IN,2436190,1886350,1701720,2610153,2484649,1572016,173963,0.93335141656447,598299,0.759201802749604,-129704,1.08250806607566
KS,1114860,762740,741590,1208358,996626,708139,93498,0.922623924366785,233886,0.765322197092992,-33451,1.04723790103355
KY,1548350,1124710,1072710,1784133,1657209,1012847,235783,0.867844493656022,532499,0.678677221762614,-59863,1.05910369483249
LA,1319170,1295330,1294420,1608309,1966468,1109556,289139,0.820221735997249,671138,0.658708913646192,-184864,1.16661078845953
MA,2423140,2211830,1437750,2657956,2831599,1370264,234816,0.911655422437392,619769,0.781124022151442,-67486,1.04925036343362
MD,2040770,1918970,1589250,2325867,2381190,1345120,285097,0.877423343639168,462220,0.805886972480147,-244130,1.18149310098727
ME,522940,392510,256220,556896,524159,254852,33956,0.939026317301615,131649,0.748837661854514,-1368,1.00536782132375
MI,3600250,2922420,2318740,3917283,3873336,2171692,317033,0.919068139830592,950916,0.754496898797316,-147048,1.06771125923934
MN,2189200,1657490,1342200,2332390,1953403,1290813,143190,0.938608037249345,295913,0.848514105896223,-51387,1.03980979429243
MO,2196240,1685040,1453480,2421536,2306342,1385654,225296,0.906961531854162,621302,0.730611505145378,-67826,1.0489487274601
MS,826080,809970,861220,1040652,1228308,715140,214572,0.793810034478385,418338,0.659419298742661,-146080,1.20426769583578
MT,414130,294660,224530,445882,374732,229879,31752,0.928788334133246,80072,0.786321958092717,5349,0.976731236868092
NC,3505230,2773630,2637640,4072410,3900228,2300781,567180,0.860726203894009,1126598,0.711145604821052,-336859,1.14641071879505
ND,291770,214300,173360,322723,260789,171881,30953,0.904088025954146,46489,0.82173711314511,-1479,1.00860479052368
NE,747410,524920,501520,806961,638051,475064,59551,0.92620337290154,113131,0.822692856840597,-26456,1.05568933869963
NH,559530,419970,262790,580574,504736,257485,21044,0.963753113298219,84766,0.832058739618335,-5305,1.0206031419306
NJ,3243770,2770460,2321960,3631721,3397385,1976538,387951,0.893177091522174,626925,0.815468367582714,-345422,1.17476112273075
NM,634200,599720,550670,728450,871834,487786,94250,0.870615690850436,272114,0.687883243828527,-62884,1.12891718909522
NV,936900,937390,855230,1103727,1210963,683349,166827,0.84885121048955,273573,0.774086408915879,-171881,1.25152740400586
NY,6174990,6499940,4794420,7278796,8424257,4146346,1103806,0.848353216658359,1924317,0.771574276520766,-648074,1.15630002898938
OH,4126550,3381950,2746200,4514524,4547750,2596335,387974,0.914060928682625,1165800,0.743653455005222,-149865,1.05772175008233
OK,1357000,933660,1029360,1525325,1445607,959932,168325,0.889646468785341,511947,0.645860181916662,-69428,1.07232595642191
OR,1531390,1155300,952800,1678011,1591093,873672,146621,0.912622146100353,435793,0.726104633732912,-79128,1.09056945856111
PA,4679940,3833150,2830290,5066614,5078250,2660673,386674,0.923681969852055,1245100,0.754817112194161,-169617,1.0637496603303
RI,352200,354720,221560,398624,454592,206423,46424,0.883539375451553,99872,0.780304096860482,-15137,1.07333000683063
SC,1675570,1369370,1263400,1921581,2001545,1101243,246011,0.871974691673159,632175,0.684156489112161,-162157,1.14724906310415
SD,346530,242510,207190,354408,302867,212391,7878,0.977771382135843,60357,0.80071450504677,5201,0.975512145053227
TN,2337070,1833530,1701350,2694690,2515335,1505959,357620,0.867287146202346,681805,0.728940677881873,-195391,1.12974523210791
TX,9414070,7718330,8526560,10860329,10083039,7361228,1446259,0.866831014051232,2364709,0.765476559200059,-1165332,1.15830673903865
UT,1221390,703620,1005250,1279840,897166,924827,58450,0.954330228778597,193546,0.7842695777593,-80423,1.08696004766297
VA,3117330,2350190,2103460,3466646,3137502,1865872,349316,0.899235168517351,787312,0.749064064341632,-237588,1.12733349340148
VT,248580,201060,117400,253851,254428,115378,5271,0.979235850951936,53368,0.79024321222507,-2022,1.01752500476694
WA,2869290,2108840,1897350,3059316,2700377,1646050,190026,0.937886115719984,591537,0.780942809096656,-251300,1.15266850946205
WI,2262600,1722200,1317140,2397049,2118130,1280304,134449,0.943910616762528,395930,0.813075684684132,-36836,1.02877129181819
WV,651230,433520,396460,730974,712069,372814,79744,0.890907200529704,278549,0.608817403931361,-23646,1.06342572972045
WY,232110,152780,141130,245246,196186,137883,13136,0.946437454637385,43406,0.77875077732356,-3247,1.02354895092216
