state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,mfs_qss_returns,filing_adults_ht2,residual_nonfiling_adults_ht2basis,ht2_filing_share,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
AK,554259,259830,221880,173680,9550,481710,72549,0.00228004171864339,477394.282313951,76864.7176860495,0.138680143553915,,,78307,91666,0.854264394650143
AL,3896723,1554490,1329000,1245740,48650,2883490,1013233,0.013648206379961,2857656.34740706,1039066.65259294,0.266651402368848,,,785176,864383,0.908365851711568
AR,2303762,1006410,770440,766270,30110,1776850,526912,0.00841023048674827,1760930.91388915,542831.086110849,0.235628110069898,,,479940,518715,0.925247968537636
AZ,5459625,2351820,2085930,1845400,53820,4437750,1021875,0.0210048683583685,4397991.48105444,1061633.51894556,0.194451728634395,,,1101544,1293425,0.851648916636063
CA,30765161,12898830,12033440,10564450,312130,24932270,5832891,0.118010038696479,24708897.7665144,6056263.23348562,0.196854592553103,,,4832708,5877107,0.822293689735443
CO,4467664,2139620,1771330,1298930,62220,3910950,556714,0.0185114055334711,3875911.16733251,591752.832667487,0.132452403015869,,,716389,842030,0.850787976675415
CT,2865613,1264080,1142270,783680,39400,2406350,459263,0.0113897954986559,2384791.12172505,480821.878274948,0.167790234855491,,,549947,633677,0.867866436686198
DC,572951,128730,281470,129610,11450,410200,162751,0.00194156881316045,406524.951952798,166426.048047202,0.290471694869547,,,62604,85362,0.733394250369017
DE,775457,344030,307000,228320,12950,651030,124427,0.00308147134186213,645197.317088811,130259.682911189,0.167977957399558,,,170706,188136,0.90735425436918
FL,17163544,7070570,6964010,4942960,274830,14034580,3128964,0.0664288221204421,13908841.9311987,3254702.0688013,0.189628789299069,,,3722600,4450243,0.836493647650252
GA,8147043,3230770,3073670,2860370,127850,6304440,1842603,0.0298403317611927,6247957.50387445,1899085.49612555,0.233101199554924,,,1349223,1532318,0.880511094955486
HI,1155328,518460,446060,329200,18920,964520,190808,0.00456528998456732,955878.709550251,199449.290449749,0.172634343190634,,,229771,276427,0.831217645164908
IA,2442712,1227970,863020,743460,24930,2090990,351722,0.00989712572557378,2072256.48289562,370455.517104383,0.151657468053697,,,516148,561953,0.918489624577144
ID,1348926,739250,449530,482550,10390,1188780,160146,0.00562676297832491,1178129.52799232,170796.472007685,0.126616635758881,,,274358,297115,0.923406761691601
IL,10009579,4324120,3952040,3125420,120400,8276160,1733419,0.0391729257648122,8202012.54596215,1807566.45403786,0.180583664311741,,,1753655,2052482,0.854407005761805
IN,5168931,2431760,1964570,1643480,71860,4396330,772601,0.0208088181871323,4356942.56952376,811988.430476241,0.157090205010715,,,1009510,1092202,0.924288730472935
KS,2222404,1108990,798090,716940,30670,1907080,315324,0.00902663835251591,1889994.16228704,332409.837712962,0.14957219196553,,,431215,478848,0.900525845362203
KY,3476078,1535680,1175550,1045890,47240,2711230,764848,0.0128328610758289,2686939.65256701,789138.347432995,0.227019746804587,,,677417,749988,0.903237118460562
LA,3571316,1310060,1376780,1261500,35560,2686840,884476,0.0127174177229449,2662768.16651598,908547.833484016,0.254401412108034,,,639893,744628,0.859345874718651
MA,5643318,2402510,2248360,1376250,73730,4650870,992448,0.0220136132278487,4609202.10455561,1034115.89544439,0.183246078892664,,,984789,1202778,0.818762065817632
MD,4800795,2028700,1981250,1530090,102960,4009950,790845,0.0189799947887195,3974024.21034404,826770.789655963,0.172215391337469,,,793788,963231,0.824088925709409
ME,1104441,523920,408740,251410,14180,932660,171781,0.00441448944242375,924304.148435634,180136.851564366,0.163102285739452,,,259508,289575,0.89616852283519
MI,7904450,3577600,3016200,2239670,91040,6593800,1310650,0.0312099376894621,6534725.08090288,1369724.91909712,0.173285291082507,,,1635820,1764404,0.927123266553465
MN,4369142,2195540,1721970,1317650,46620,3917510,451632,0.0185424554881623,3882412.39523307,486729.604766925,0.111401644708944,,,834600,924447,0.90281000425119
MO,4762443,2186650,1745110,1426900,67090,3931760,830683,0.0186099039415693,3896534.7271817,865908.272818297,0.181820186156201,,,954448,1054695,0.904951668491839
MS,2279535,825810,853430,834070,28570,1679240,600295,0.00794822041397257,1664195.41764314,615339.582356857,0.269940835458485,,,454346,497272,0.913677021831111
MT,842475,422610,313230,226360,10590,735840,106635,0.00348289613719157,729247.490602017,113227.509397984,0.134398657999328,,,187541,208851,0.897965535238041
NC,8085595,3569160,2952310,2544400,119760,6521470,1564125,0.0308675835396428,6463043.09705416,1622551.90294584,0.200671923704544,,,1585852,1739293,0.911779671395216
ND,594358,292650,222410,176320,6430,515060,79298,0.00243789476573969,510445.494277934,83912.5057220665,0.141181755309202,,,108686,120687,0.900560955198157
NE,1469654,750390,548520,493390,16930,1298910,170744,0.00614803302560272,1287272.85553635,182381.144463653,0.124098015222395,,,278917,314228,0.887626182262561
NH,1113255,563550,433270,255500,17190,996820,116435,0.0047181731456231,987889.328633809,125365.671366191,0.112611819723416,,,235208,257717,0.912660010787026
NJ,7251186,3228220,2848390,2228490,101840,6076610,1174576,0.0287619611548974,6022168.66963894,1229017.33036106,0.169491905236062,,,1303247,1499920,0.868877673475919
NM,1628496,636310,637830,522840,13810,1274140,354356,0.00603079104729462,1262724.7739667,365771.226033304,0.224606769702415,,,330279,380720,0.8675115570498
NV,2379509,975730,1037190,803110,30430,2012920,366589,0.00952760286539963,1994885.9246339,384623.075366097,0.161639680861092,,,428668,491318,0.872485844198666
