state,ssa_age_band,hi_persons_total,universe
AK,Under 20,25216,covered_worker_hi
AK,20–29,95259,covered_worker_hi
AK,30–39,96876,covered_worker_hi
AK,40–49,70480,covered_worker_hi
AK,50–59,78330,covered_worker_hi
AK,60–61,16032,covered_worker_hi
AK,62–64,15346,covered_worker_hi
AK,65–69,14631,covered_worker_hi
AK,70 or older,7986,covered_worker_hi
AL,Under 20,131579,covered_worker_hi
AL,20–29,546998,covered_worker_hi
AL,30–39,509177,covered_worker_hi
AL,40–49,473462,covered_worker_hi
AL,50–59,459280,covered_worker_hi
AL,60–61,74204,covered_worker_hi
AL,62–64,93336,covered_worker_hi
AL,65–69,85223,covered_worker_hi
AL,70 or older,72638,covered_worker_hi
AR,Under 20,82639,covered_worker_hi
AR,20–29,336267,covered_worker_hi
AR,30–39,319207,covered_worker_hi
AR,40–49,291428,covered_worker_hi
AR,50–59,274247,covered_worker_hi
AR,60–61,49489,covered_worker_hi
AR,62–64,56265,covered_worker_hi
AR,65–69,54682,covered_worker_hi
AR,70 or older,45740,covered_worker_hi
AZ,Under 20,200970,covered_worker_hi
AZ,20–29,799401,covered_worker_hi
AZ,30–39,709528,covered_worker_hi
AZ,40–49,657329,covered_worker_hi
AZ,50–59,635580,covered_worker_hi
AZ,60–61,105124,covered_worker_hi
AZ,62–64,125952,covered_worker_hi
AZ,65–69,130129,covered_worker_hi
AZ,70 or older,102711,covered_worker_hi
CA,Under 20,887497,covered_worker_hi
CA,20–29,4779504,covered_worker_hi
CA,30–39,4399964,covered_worker_hi
CA,40–49,3845957,covered_worker_hi
CA,50–59,3799277,covered_worker_hi
CA,60–61,627504,covered_worker_hi
CA,62–64,760950,covered_worker_hi
CA,65–69,745028,covered_worker_hi
CA,70 or older,533095,covered_worker_hi
CO,Under 20,186361,covered_worker_hi
CO,20–29,729639,covered_worker_hi
CO,30–39,713654,covered_worker_hi
CO,40–49,603560,covered_worker_hi
CO,50–59,568060,covered_worker_hi
CO,60–61,94992,covered_worker_hi
CO,62–64,121440,covered_worker_hi
CO,65–69,119085,covered_worker_hi
CO,70 or older,78291,covered_worker_hi
CT,Under 20,108529,covered_worker_hi
CT,20–29,411817,covered_worker_hi
CT,30–39,378424,covered_worker_hi
CT,40–49,370486,covered_worker_hi
CT,50–59,446623,covered_worker_hi
CT,60–61,77111,covered_worker_hi
CT,62–64,95641,covered_worker_hi
CT,65–69,96937,covered_worker_hi
CT,70 or older,73921,covered_worker_hi
DC,Under 20,18157,covered_worker_hi
DC,20–29,119760,covered_worker_hi
DC,30–39,121893,covered_worker_hi
DC,40–49,68449,covered_worker_hi
DC,50–59,56370,covered_worker_hi
DC,60–61,9509,covered_worker_hi
DC,62–64,12154,covered_worker_hi
DC,65–69,13207,covered_worker_hi
DC,70 or older,10500,covered_worker_hi
DE,Under 20,30804,covered_worker_hi
DE,20–29,110861,covered_worker_hi
DE,30–39,103052,covered_worker_hi
DE,40–49,104423,covered_worker_hi
DE,50–59,101815,covered_worker_hi
DE,60–61,20527,covered_worker_hi
DE,62–64,21933,covered_worker_hi
DE,65–69,21776,covered_worker_hi
DE,70 or older,18524,covered_worker_hi
FL,Under 20,482607,covered_worker_hi
FL,20–29,2225806,covered_worker_hi
FL,30–39,2195198,covered_worker_hi
FL,40–49,2124115,covered_worker_hi
FL,50–59,2151119,covered_worker_hi
FL,60–61,349484,covered_worker_hi
FL,62–64,428763,covered_worker_hi
FL,65–69,441166,covered_worker_hi
FL,70 or older,359541,covered_worker_hi
GA,Under 20,312237,covered_worker_hi
GA,20–29,1215586,covered_worker_hi
GA,30–39,1157388,covered_worker_hi
GA,40–49,1120529,covered_worker_hi
GA,50–59,1014243,covered_worker_hi
GA,60–61,153411,covered_worker_hi
GA,62–64,192381,covered_worker_hi
GA,65–69,182435,covered_worker_hi
GA,70 or older,135751,covered_worker_hi
HI,Under 20,35922,covered_worker_hi
HI,20–29,170637,covered_worker_hi
HI,30–39,161086,covered_worker_hi
HI,40–49,156884,covered_worker_hi
HI,50–59,144016,covered_worker_hi
HI,60–61,27768,covered_worker_hi
HI,62–64,35122,covered_worker_hi
HI,65–69,42328,covered_worker_hi
