soi_variable,variable,asec_amount,asec_positive_M,soi_amount,asec_over_soi,asec_over_ssa_wages
agi_amt,ADJGINC,9191628773770.22,142.42873106,10071725571000,0.912617079265555,
,TAXINC,6587746203665.41,116.3636052,,,
,INCTOT,10091189200316.8,226.53369897,,,
wages_amt,INCWAGE,7605160527567.56,154.11497469,7009504333000,1.08497836170288,
int_amt,INCINT,208947714402.46,129.10361122,91421950000,2.28553114872807,
div_amt,INCDIVID,103563845332.98,30.39329631,249723207000,0.414714541660439,
,INCRENT,93610362864.11,11.30116489,,,
,INCBUS,414615947604.45,11.57984788,,,
,INCFARM,42452065201.22,1.69278382,,,
,INCSS,744025580211.7,50.6926374,,,
,INCRETIR,507111186678.47,22.12614495,,,
eitc_amt,EITCRED,46719927697.14,22.03193802,68013369000,0.686922709227064,
,FEDTAX,1364250443087.58,110.40051775,,,
