state,age_band,income_tier,n_units,n_adults,year
CT,26_34,1_10k,29005,29744,2018
CT,26_34,10_25k,13745,16830,2018
CT,35_44,neg_zero,10789,10910,2018
CT,35_44,1_10k,19988,20802,2018
CT,35_44,10_25k,13531,16772,2018
CT,45_54,neg_zero,14032,14587,2018
CT,45_54,1_10k,21629,22129,2018
CT,45_54,10_25k,14048,17655,2018
CT,55_64,neg_zero,12355,12961,2018
CT,55_64,1_10k,23377,24602,2018
CT,55_64,10_25k,10424,14756,2018
CT,65_74,neg_zero,4713,5626,2018
CT,65_74,1_10k,17189,18099,2018
CT,65_74,10_25k,9413,13553,2018
CT,75p,neg_zero,5310,6240,2018
CT,75p,1_10k,14600,14999,2018
CT,75p,10_25k,9616,13627,2018
DC,18_25,neg_zero,14440,14440,2018
DC,18_25,1_10k,14867,14971,2018
DC,18_25,10_25k,2272,2361,2018
DC,26_34,neg_zero,6785,6785,2018
DC,26_34,1_10k,9270,9270,2018
DC,26_34,10_25k,2292,2460,2018
DC,35_44,neg_zero,3655,3655,2018
DC,35_44,1_10k,4974,4974,2018
DC,35_44,10_25k,2105,2350,2018
DC,45_54,neg_zero,3499,3499,2018
DC,45_54,1_10k,5396,5604,2018
DC,45_54,10_25k,2150,2259,2018
DC,55_64,neg_zero,5755,5755,2018
DC,55_64,1_10k,7534,7589,2018
DC,55_64,10_25k,2223,2631,2018
DC,65_74,neg_zero,889,1086,2018
DC,65_74,1_10k,4120,4250,2018
DC,65_74,10_25k,2221,2904,2018
DC,75p,neg_zero,1478,1554,2018
DC,75p,1_10k,6145,6145,2018
DC,75p,10_25k,2254,2593,2018
DE,18_25,neg_zero,20007,20007,2018
DE,18_25,1_10k,28210,28210,2018
DE,18_25,10_25k,4532,4532,2018
DE,26_34,neg_zero,5656,5656,2018
DE,26_34,1_10k,8501,8790,2018
DE,26_34,10_25k,5681,6991,2018
DE,35_44,neg_zero,3552,3552,2018
DE,35_44,1_10k,6279,6650,2018
DE,35_44,10_25k,3749,5486,2018
DE,45_54,neg_zero,3650,4116,2018
DE,45_54,1_10k,6679,6747,2018
DE,45_54,10_25k,3094,4342,2018
DE,55_64,neg_zero,4277,4513,2018
DE,55_64,1_10k,8535,8974,2018
DE,55_64,10_25k,4064,5028,2018
DE,65_74,neg_zero,843,987,2018
DE,65_74,1_10k,3380,3411,2018
DE,65_74,10_25k,3535,4968,2018
DE,75p,neg_zero,1781,2002,2018
DE,75p,1_10k,2488,2556,2018
DE,75p,10_25k,2261,3475,2018
FL,18_25,neg_zero,496899,498143,2018
FL,18_25,1_10k,439800,441075,2018
FL,18_25,10_25k,112218,118021,2018
FL,26_34,neg_zero,151581,154645,2018
FL,26_34,1_10k,217674,222434,2018
FL,26_34,10_25k,118174,142548,2018
FL,35_44,neg_zero,115271,119035,2018
FL,35_44,1_10k,143244,151579,2018
FL,35_44,10_25k,97773,128360,2018
FL,45_54,neg_zero,100132,103209,2018
FL,45_54,1_10k,151392,162084,2018
FL,45_54,10_25k,89951,128909,2018
FL,55_64,neg_zero,116372,125348,2018
FL,55_64,1_10k,194741,210984,2018
FL,55_64,10_25k,97888,147760,2018
FL,65_74,neg_zero,57431,65802,2018
FL,65_74,1_10k,181655,195028,2018
FL,65_74,10_25k,123441,192731,2018
FL,75p,neg_zero,54351,61512,2018
FL,75p,1_10k,180896,191984,2018
FL,75p,10_25k,110939,168349,2018
GA,18_25,neg_zero,268244,268661,2018
GA,18_25,1_10k,273331,275077,2018
GA,18_25,10_25k,56907,62347,2018
GA,26_34,neg_zero,69293,69895,2018
GA,26_34,1_10k,114876,118147,2018
GA,26_34,10_25k,55353,66398,2018
GA,35_44,neg_zero,54488,55921,2018
GA,35_44,1_10k,75600,79972,2018
GA,35_44,10_25k,53080,66849,2018
GA,45_54,neg_zero,55996,59352,2018
GA,45_54,1_10k,73550,81669,2018
GA,45_54,10_25k,37236,52548,2018
GA,55_64,neg_zero,44184,48016,2018
GA,55_64,1_10k,87759,95101,2018
GA,55_64,10_25k,44526,66095,2018
GA,65_74,neg_zero,19190,22189,2018
GA,65_74,1_10k,57962,62416,2018
GA,65_74,10_25k,40780,62584,2018
GA,75p,neg_zero,15129,17142,2018
GA,75p,1_10k,46667,49659,2018
GA,75p,10_25k,32121,44939,2018
HI,18_25,neg_zero,24590,24590,2018
HI,18_25,1_10k,25630,25821,2018
HI,18_25,10_25k,5397,5749,2018
HI,26_34,neg_zero,7167,7357,2018
HI,26_34,1_10k,13391,13665,2018
HI,26_34,10_25k,6284,7439,2018
HI,35_44,neg_zero,5465,5465,2018
HI,35_44,1_10k,7847,8346,2018
HI,35_44,10_25k,4069,5255,2018
HI,45_54,neg_zero,6403,6603,2018
HI,45_54,1_10k,6938,6970,2018
HI,45_54,10_25k,4531,5933,2018
HI,55_64,neg_zero,6352,6695,2018
HI,55_64,1_10k,12407,13494,2018
HI,55_64,10_25k,3030,4348,2018
HI,65_74,neg_zero,3130,3313,2018
HI,65_74,1_10k,8450,9116,2018
HI,65_74,10_25k,3885,5909,2018
HI,75p,neg_zero,2375,2801,2018
HI,75p,1_10k,6835,7026,2018
HI,75p,10_25k,5827,9033,2018
IA,18_25,neg_zero,38592,38592,2018
IA,18_25,1_10k,82902,83316,2018
IA,18_25,10_25k,15037,15800,2018
IA,26_34,neg_zero,10558,10584,2018
IA,26_34,1_10k,18545,19033,2018
IA,26_34,10_25k,11712,13578,2018
IA,35_44,neg_zero,6275,6275,2018
IA,35_44,1_10k,12336,12915,2018
IA,35_44,10_25k,13510,17744,2018
IA,45_54,neg_zero,8486,9408,2018
IA,45_54,1_10k,12599,13125,2018
IA,45_54,10_25k,9375,13364,2018
IA,55_64,neg_zero,6143,6335,2018
IA,55_64,1_10k,19961,21237,2018
IA,55_64,10_25k,9406,14724,2018
IA,65_74,neg_zero,1238,1298,2018
IA,65_74,1_10k,9918,10786,2018
IA,65_74,10_25k,9327,14075,2018
IA,75p,neg_zero,3577,4179,2018
IA,75p,1_10k,13843,14749,2018
IA,75p,10_25k,11557,18349,2018
ID,18_25,neg_zero,28374,28374,2018
ID,18_25,1_10k,51285,52161,2018
ID,18_25,10_25k,11901,15469,2018
ID,26_34,neg_zero,7132,7406,2018
ID,26_34,1_10k,15956,16384,2018
ID,26_34,10_25k,12760,16372,2018
ID,35_44,neg_zero,3162,3466,2018
ID,35_44,1_10k,9309,9551,2018
ID,35_44,10_25k,5655,6940,2018
ID,45_54,neg_zero,3011,3052,2018
ID,45_54,1_10k,7339,8633,2018
ID,45_54,10_25k,7420,10913,2018
ID,55_64,neg_zero,3406,3655,2018
ID,55_64,1_10k,9260,10010,2018
ID,55_64,10_25k,7467,11005,2018
ID,65_74,neg_zero,1996,2654,2018
ID,65_74,1_10k,6752,7123,2018
ID,65_74,10_25k,6360,10494,2018
ID,75p,neg_zero,1965,2301,2018
ID,75p,1_10k,6811,7177,2018
ID,75p,10_25k,6038,8680,2018
IL,18_25,neg_zero,262666,263305,2018
IL,18_25,1_10k,335635,336277,2018
IL,18_25,10_25k,77633,82322,2018
IL,26_34,neg_zero,72036,72700,2018
IL,26_34,1_10k,107452,109967,2018
IL,26_34,10_25k,67594,83771,2018
IL,35_44,neg_zero,61554,62916,2018
IL,35_44,1_10k,68053,71980,2018
IL,35_44,10_25k,53493,69679,2018
IL,45_54,neg_zero,45466,46569,2018
IL,45_54,1_10k,71051,74476,2018
IL,45_54,10_25k,39866,55250,2018
IL,55_64,neg_zero,52308,54629,2018
IL,55_64,1_10k,100066,107747,2018
IL,55_64,10_25k,46446,69855,2018
