state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,mfs_qss_returns,filing_adults_ht2,residual_nonfiling_adults_ht2basis,ht2_filing_share,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
AK,550578,267230,222950,177830,9130,490180,60398,0.0024425652346498,487545.566381038,63032.433618962,0.114484112367298,,,61001,70096,0.870249372289432
AL,3773098,1571700,1240770,1371300,39860,2812470,960628,0.0140145282253367,2797354.60255351,975743.397446493,0.258605368173976,,,686381,747922,0.917717355553119
AR,2254005,1008210,706890,799080,24310,1715100,538905,0.0085463373331182,1705882.33077669,548122.669223309,0.243177219759188,,,430170,463337,0.928417113245866
AZ,5020708,2150600,1752200,1951020,36420,3902800,1117908,0.0194476388220475,3881824.7102532,1138883.2897468,0.226837189047202,,,891977,1050190,0.849348213180472
CA,29546636,12723180,10929480,12230800,240680,23652660,5893976,0.117861122491722,23525540.6506143,6021095.34938569,0.203782770714937,,,4126722,4974999,0.829492026028548
CO,4088780,2026830,1516040,1409610,47590,3542870,545910,0.0176541088842543,3523829.12555467,564950.87444533,0.13817101297828,,,588137,675245,0.870997934083185
CT,2835007,1291380,1086060,837160,35440,2377440,457567,0.0118467752488185,2364662.63686184,470344.363138164,0.165905891286393,,,502510,564434,0.890290095919098
DC,544461,120870,271860,137160,9310,392730,151731,0.00195697222368113,390619.303694204,153841.696305796,0.282557788906452,,,55934,76198,0.734061261450432
DE,730957,325740,275730,237800,10480,601470,129487,0.00299712291746872,598237.447083118,132719.552916882,0.181569576482449,,,140660,153464,0.9165667518115
FL,15755395,6440150,6072950,4976600,211830,12513100,3242295,0.0623527337665683,12445849.3342906,3309545.6657094,0.210057930360324,,,3145869,3751132,0.838645240956597
GA,7592920,3129830,2763970,3123670,98470,5893800,1699120,0.0293687848953018,5862124.2383136,1730795.7616864,0.227948636583343,,,1124078,1254413,0.896098812751462
HI,1125122,520010,413830,355540,16010,933840,191282,0.00465332147114402,928821.150820655,196300.849179345,0.17447072333431,,,197122,232971,0.846122478763451
IA,2386816,1238930,816370,756710,19470,2055300,331516,0.0102415527495527,2044253.95279886,342562.047201136,0.143522603837554,,,462369,494346,0.93531453678193
ID,1204617,654520,371560,471250,6340,1026080,178537,0.00511295307023843,1020565.41424019,184051.585759812,0.152788467836509,,,218849,234457,0.933429157585399
