variable,both_spouses_M,exactly_one_spouse_M,persons_in_joint_units_M
ADJGINC,0,121.2147914098,121.2811902131
FEDTAX,0,98.2362619402,121.2811902131
EITCRED,0,11.8211628306,121.2811902131
